"Status","Year","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","80","80","42430","39750"
"In post","2021","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","280","270","45240","40080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","180","170","40120","38180"
"In post","2021","Attorney General's Departments","Finance","140","130","36050","31010"
"In post","2021","Attorney General's Departments","Human Resources","220","210","40210","34160"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","5260","4880","57020","55610"
"In post","2021","Attorney General's Departments","Operational Delivery","3060","2830","27330","25480"
"In post","2021","Attorney General's Departments","Other","440","420","32660","27580"
"In post","2021","Attorney General's Departments","Policy","90","80","50250","54760"
"In post","2021","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","9340","9170","46690","38230"
"In post","2021","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","280","260","63610","54100"
"In post","2021","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2021","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
