"Status","Year","Responsibility_level","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Legal","50","40","21540","22820"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","No function","200","190","22820","21590"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Property","50","50","26060","26530"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Security","80","80","39720","44070"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Unknown","140","130","21720","21010"
"In post","2021","AA/AO","Angus and Dundee City","Legal","50","40","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","No function","250","230","20740","20140"
"In post","2021","AA/AO","Angus and Dundee City","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Unknown","810","750","21210","21010"
"In post","2021","AA/AO","Antrim and Newtownabbey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Security","70","70","20810","20310"
"In post","2021","AA/AO","Antrim and Newtownabbey","Unknown","70","70","20820","20310"
"In post","2021","AA/AO","Ards and North Down","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Security","100","100","20900","20310"
"In post","2021","AA/AO","Ards and North Down","Unknown","50","50","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","No function","60","50","22000","22450"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Unknown","60","50","24610","25110"
"In post","2021","AA/AO","Barnet","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","No function","200","170","23520","23530"
"In post","2021","AA/AO","Barnet","Unknown","60","60","24740","25110"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","No function","880","820","24600","24120"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Unknown","610","510","20800","21010"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","110","100","21110","20920"
