"Status","Year","Region_ITL1","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Declared disabled","Heterosexual / straight","1990","1820","28500","27570"
"In post","2021","East Midlands (England)","Declared disabled","LGBO","190","180","29060","27570"
"In post","2021","East Midlands (England)","Declared disabled","Undeclared","320","290","28720","27570"
"In post","2021","East Midlands (England)","Declared disabled","Unknown","170","150","26830","27380"
"In post","2021","East Midlands (England)","Declared non-disabled","Heterosexual / straight","11000","10230","30250","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","LGBO","510","490","29790","27380"
"In post","2021","East Midlands (England)","Declared non-disabled","Undeclared","1060","950","30090","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Unknown","1690","1480","29090","27570"
"In post","2021","East Midlands (England)","Undeclared","Heterosexual / straight","640","590","28600","27570"
"In post","2021","East Midlands (England)","Undeclared","LGBO","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Undeclared","560","520","30620","28220"
"In post","2021","East Midlands (England)","Undeclared","Unknown","250","220","29640","30550"
"In post","2021","East Midlands (England)","Unknown","Heterosexual / straight","510","480","30840","26930"
"In post","2021","East Midlands (England)","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Undeclared","80","70","31940","29050"
"In post","2021","East Midlands (England)","Unknown","Unknown","2310","2190","27230","25560"
"In post","2021","East of England","Declared disabled","Heterosexual / straight","1980","1810","30040","27570"
"In post","2021","East of England","Declared disabled","LGBO","170","160","28370","27570"
"In post","2021","East of England","Declared disabled","Undeclared","260","240","30700","28380"
"In post","2021","East of England","Declared disabled","Unknown","170","150","28390","27570"
"In post","2021","East of England","Declared non-disabled","Heterosexual / straight","12220","11390","30740","27850"
"In post","2021","East of England","Declared non-disabled","LGBO","500","480","29730","27570"
"In post","2021","East of England","Declared non-disabled","Undeclared","1160","1060","30320","27570"
"In post","2021","East of England","Declared non-disabled","Unknown","1630","1430","30300","28130"
"In post","2021","East of England","Undeclared","Heterosexual / straight","730","690","31100","29290"
"In post","2021","East of England","Undeclared","LGBO","50","50","[c]","[c]"
"In post","2021","East of England","Undeclared","Undeclared","650","610","31750","29870"
"In post","2021","East of England","Undeclared","Unknown","300","260","31190","31650"
"In post","2021","East of England","Unknown","Heterosexual / straight","700","670","34090","32000"
"In post","2021","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Undeclared","120","110","36590","34560"
"In post","2021","East of England","Unknown","Unknown","1930","1830","30950","27570"
"In post","2021","London","Declared disabled","Heterosexual / straight","6630","6300","40630","35070"
"In post","2021","London","Declared disabled","LGBO","970","950","42440","36650"
"In post","2021","London","Declared disabled","Undeclared","990","930","39220","33950"
"In post","2021","London","Declared disabled","Unknown","610","560","38460","31970"
"In post","2021","London","Declared non-disabled","Heterosexual / straight","53280","51230","43940","37900"
"In post","2021","London","Declared non-disabled","LGBO","3540","3480","45780","40600"
"In post","2021","London","Declared non-disabled","Undeclared","5140","4880","42780","36800"
"In post","2021","London","Declared non-disabled","Unknown","5330","4920","41500","34770"
"In post","2021","London","Undeclared","Heterosexual / straight","2280","2200","41190","35770"
"In post","2021","London","Undeclared","LGBO","240","240","42910","36160"
"In post","2021","London","Undeclared","Undeclared","2270","2180","44020","38860"
"In post","2021","London","Undeclared","Unknown","1300","1240","40630","35870"
"In post","2021","London","Unknown","Heterosexual / straight","4110","4000","43970","40000"
"In post","2021","London","Unknown","LGBO","350","340","43440","39920"
"In post","2021","London","Unknown","Undeclared","640","620","45740","41760"
"In post","2021","London","Unknown","Unknown","14250","13920","43480","36240"
"In post","2021","North East (England)","Declared disabled","Heterosexual / straight","2620","2310","27160","25560"
"In post","2021","North East (England)","Declared disabled","LGBO","190","180","27130","25560"
"In post","2021","North East (England)","Declared disabled","Undeclared","280","240","26960","23840"
"In post","2021","North East (England)","Declared disabled","Unknown","320","270","25380","21440"
"In post","2021","North East (England)","Declared non-disabled","Heterosexual / straight","15440","14000","29100","26520"
"In post","2021","North East (England)","Declared non-disabled","LGBO","700","670","28720","26300"
"In post","2021","North East (England)","Declared non-disabled","Undeclared","1170","1040","28270","25650"
"In post","2021","North East (England)","Declared non-disabled","Unknown","3020","2550","27010","23510"
"In post","2021","North East (England)","Undeclared","Heterosexual / straight","750","680","28720","27570"
"In post","2021","North East (England)","Undeclared","LGBO","60","60","27070","27570"
"In post","2021","North East (England)","Undeclared","Undeclared","590","550","30160","27460"
"In post","2021","North East (England)","Undeclared","Unknown","360","310","29350","31650"
"In post","2021","North East (England)","Unknown","Heterosexual / straight","820","740","28400","25560"
"In post","2021","North East (England)","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","North East (England)","Unknown","Undeclared","120","100","29630","23290"
"In post","2021","North East (England)","Unknown","Unknown","4130","3760","25910","21440"
"In post","2021","North West (England)","Declared disabled","Heterosexual / straight","5210","4690","28500","27570"
"In post","2021","North West (England)","Declared disabled","LGBO","480","450","28410","27570"
"In post","2021","North West (England)","Declared disabled","Undeclared","690","610","27770","26780"
"In post","2021","North West (England)","Declared disabled","Unknown","630","540","26630","25560"
"In post","2021","North West (England)","Declared non-disabled","Heterosexual / straight","30370","28200","30110","27570"
"In post","2021","North West (England)","Declared non-disabled","LGBO","1540","1500","29690","27370"
"In post","2021","North West (England)","Declared non-disabled","Undeclared","2540","2310","29480","27460"
"In post","2021","North West (England)","Declared non-disabled","Unknown","5820","5070","27650","27570"
"In post","2021","North West (England)","Undeclared","Heterosexual / straight","1430","1320","28900","27570"
"In post","2021","North West (England)","Undeclared","LGBO","140","140","28670","27570"
"In post","2021","North West (England)","Undeclared","Undeclared","1180","1100","31250","27570"
"In post","2021","North West (England)","Undeclared","Unknown","700","630","29280","31650"
"In post","2021","North West (England)","Unknown","Heterosexual / straight","1960","1880","32680","30640"
"In post","2021","North West (England)","Unknown","LGBO","130","130","31260","28840"
"In post","2021","North West (England)","Unknown","Undeclared","210","190","32190","28840"
"In post","2021","North West (England)","Unknown","Unknown","6310","5960","28170","25560"
"In post","2021","Northern Ireland","Declared disabled","Heterosexual / straight","250","240","27290","25560"
"In post","2021","Northern Ireland","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared non-disabled","Heterosexual / straight","2030","1910","28670","25560"
"In post","2021","Northern Ireland","Declared non-disabled","LGBO","70","60","26490","25310"
"In post","2021","Northern Ireland","Declared non-disabled","Undeclared","100","90","27800","24890"
"In post","2021","Northern Ireland","Declared non-disabled","Unknown","130","120","30150","27970"
"In post","2021","Northern Ireland","Undeclared","Heterosexual / straight","120","110","28850","26750"
"In post","2021","Northern Ireland","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Undeclared","70","70","28650","25560"
"In post","2021","Northern Ireland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Heterosexual / straight","230","220","29250","25560"
"In post","2021","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Unknown","700","660","25500","21440"
"In post","2021","Overseas","Declared disabled","Heterosexual / straight","160","160","48570","45490"
