"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Communications","60","50","43930","39750"
"In post","2021","Attorney General's Departments","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Counter Fraud","110","110","42550","35480"
"In post","2021","Attorney General's Departments","Female","Digital, Data and Technology","80","70","38360","35290"
"In post","2021","Attorney General's Departments","Female","Finance","80","70","33290","30610"
"In post","2021","Attorney General's Departments","Female","Human Resources","160","150","40910","35000"
"In post","2021","Attorney General's Departments","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Legal","3300","2970","56270","55010"
"In post","2021","Attorney General's Departments","Female","Operational Delivery","2220","2000","27060","25480"
"In post","2021","Attorney General's Departments","Female","Other","270","260","32080","27580"
"In post","2021","Attorney General's Departments","Female","Policy","60","50","50840","54760"
"In post","2021","Attorney General's Departments","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Counter Fraud","170","170","47030","41140"
"In post","2021","Attorney General's Departments","Male","Digital, Data and Technology","100","100","41400","38540"
"In post","2021","Attorney General's Departments","Male","Finance","60","60","39470","31560"
"In post","2021","Attorney General's Departments","Male","Human Resources","60","60","38340","31880"
"In post","2021","Attorney General's Departments","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Legal","1960","1910","58280","55610"
"In post","2021","Attorney General's Departments","Male","Operational Delivery","840","820","28050","25820"
"In post","2021","Attorney General's Departments","Male","Other","170","160","33620","27650"
"In post","2021","Attorney General's Departments","Male","Policy","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Human Resources","[c]","[c]","[c]","[c]"
