"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Chancellor's other departments","140","130","70300","65470"
"In post","2021","Heterosexual / straight","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Competition and Markets Authority","100","100","59350","56360"
"In post","2021","Heterosexual / straight","Analysis","Department for Business, Energy and Industrial Strategy","220","220","45240","39570"
"In post","2021","Heterosexual / straight","Analysis","Department for Digital, Culture, Media and Sport","110","100","52430","50400"
"In post","2021","Heterosexual / straight","Analysis","Department for Education","290","270","43830","42420"
"In post","2021","Heterosexual / straight","Analysis","Department for Environment, Food and Rural Affairs","250","240","34030","30220"
"In post","2021","Heterosexual / straight","Analysis","Department for International Trade","160","160","44340","39790"
"In post","2021","Heterosexual / straight","Analysis","Department for Transport","330","310","44630","42470"
"In post","2021","Heterosexual / straight","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Department of Health and Social Care","130","120","51480","53360"
"In post","2021","Heterosexual / straight","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","HM Revenue and Customs","430","410","46010","41340"
"In post","2021","Heterosexual / straight","Analysis","HM Treasury","100","100","51150","52530"
"In post","2021","Heterosexual / straight","Analysis","Ministry of Defence","490","470","40260","37360"
"In post","2021","Heterosexual / straight","Analysis","Ministry of Housing, Communities and Local Government","170","170","46760","43190"
"In post","2021","Heterosexual / straight","Analysis","Ministry of Justice","280","270","45780","40480"
"In post","2021","Heterosexual / straight","Analysis","Office for Standards in Education","120","110","40450","35010"
"In post","2021","Heterosexual / straight","Analysis","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","United Kingdom Statistics Authority","1060","1020","37980","36030"
"In post","2021","Heterosexual / straight","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Cabinet Office","300","290","72280","64500"
"In post","2021","Heterosexual / straight","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Education","170","160","41260","38140"
"In post","2021","Heterosexual / straight","Commercial","Department for Environment, Food and Rural Affairs","150","140","37010","36940"
"In post","2021","Heterosexual / straight","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Transport","140","130","35040","31860"
"In post","2021","Heterosexual / straight","Commercial","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department of Health and Social Care","90","90","46330","40650"
"In post","2021","Heterosexual / straight","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Foreign, Commonwealth and Development Office","140","140","41900","39190"
"In post","2021","Heterosexual / straight","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","HM Revenue and Customs","80","80","37250","35000"
"In post","2021","Heterosexual / straight","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Defence","1590","1540","36670","34500"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Justice","830","810","44940","42630"
"In post","2021","Heterosexual / straight","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Other Cabinet Office Agencies","250","240","34760","34800"
"In post","2021","Heterosexual / straight","Commercial","Scottish Government","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","UK Export Finance","160","150","53920","50180"
"In post","2021","Heterosexual / straight","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Attorney General's Departments","70","70","43070","39750"
"In post","2021","Heterosexual / straight","Communications","Cabinet Office","190","180","47440","42210"
"In post","2021","Heterosexual / straight","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Business, Energy and Industrial Strategy","130","120","44230","39820"
"In post","2021","Heterosexual / straight","Communications","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Education","210","200","39950","36960"
"In post","2021","Heterosexual / straight","Communications","Department for Environment, Food and Rural Affairs","240","230","38540","36970"
"In post","2021","Heterosexual / straight","Communications","Department for International Trade","50","50","42980","38540"
"In post","2021","Heterosexual / straight","Communications","Department for Transport","180","170","38020","34710"
"In post","2021","Heterosexual / straight","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department of Health and Social Care","160","160","43450","37930"
"In post","2021","Heterosexual / straight","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Foreign, Commonwealth and Development Office","90","90","47940","42330"
"In post","2021","Heterosexual / straight","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Revenue and Customs","2210","2120","30060","25560"
"In post","2021","Heterosexual / straight","Communications","HM Treasury","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Ministry of Defence","650","630","31980","28650"
"In post","2021","Heterosexual / straight","Communications","Ministry of Housing, Communities and Local Government","70","70","40120","34200"
"In post","2021","Heterosexual / straight","Communications","Ministry of Justice","100","100","44260","39500"
