"Status","Year","Region_ITL1","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Attorney General's Departments","Declared disabled","60","50","35350","28430"
"In post","2021","East Midlands (England)","Attorney General's Departments","Declared non-disabled","280","250","40700","38760"
"In post","2021","East Midlands (England)","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Unknown","110","100","33780","27470"
"In post","2021","East Midlands (England)","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Declared non-disabled","90","80","35560","36060"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Unknown","100","90","29440","30950"
"In post","2021","East Midlands (England)","Department for Education","Declared disabled","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Declared non-disabled","220","210","42620","37270"
"In post","2021","East Midlands (England)","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Declared non-disabled","190","180","32310","29180"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Declared disabled","100","90","31010","26780"
"In post","2021","East Midlands (England)","Department for Transport","Declared non-disabled","400","380","34760","29730"
"In post","2021","East Midlands (England)","Department for Transport","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Unknown","110","110","31760","26700"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Declared disabled","910","790","26380","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Declared non-disabled","3580","3170","27530","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Undeclared","250","240","27190","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Unknown","150","140","26040","27570"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Declared non-disabled","120","110","42660","36330"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Unknown","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Declared disabled","70","60","30630","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Declared non-disabled","540","480","32810","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Unknown","240","230","26970","22350"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Declared disabled","340","310","31850","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Declared non-disabled","2190","2040","34290","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Undeclared","220","200","32230","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Unknown","1190","1120","27860","25560"
"In post","2021","East Midlands (England)","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Declared non-disabled","190","180","28080","25390"
"In post","2021","East Midlands (England)","Home Office","Undeclared","[c]","[c]","[c]","[c]"
