"Status","Year","Region_ITL3","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","370","350","30350","28470"
"In post","2021","Aberdeen City and Aberdeenshire","White","Declared disabled","110","100","32810","27570"
"In post","2021","Aberdeen City and Aberdeenshire","White","Declared non-disabled","940","880","37250","30650"
"In post","2021","Aberdeen City and Aberdeenshire","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","White","Unknown","230","210","34570","33650"
"In post","2021","Angus and Dundee City","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Unknown","270","250","24950","21150"
"In post","2021","Angus and Dundee City","White","Declared disabled","240","220","24230","21010"
"In post","2021","Angus and Dundee City","White","Declared non-disabled","1040","960","27030","24110"
"In post","2021","Angus and Dundee City","White","Undeclared","70","60","24500","21010"
"In post","2021","Angus and Dundee City","White","Unknown","110","100","30880","25240"
"In post","2021","Antrim and Newtownabbey","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","White","Declared non-disabled","120","120","24900","20310"
"In post","2021","Antrim and Newtownabbey","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","White","Declared non-disabled","130","120","27130","21470"
"In post","2021","Ards and North Down","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","White","Unknown","40","40","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
