"Status","Year","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","50","50","37570","33590"
"In post","2021","Analysis","East of England","380","360","35070","31450"
"In post","2021","Analysis","London","3450","3350","48920","44950"
"In post","2021","Analysis","North East (England)","60","60","42160","42220"
"In post","2021","Analysis","North West (England)","370","350","38490","38630"
"In post","2021","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","70","70","46870","41060"
"In post","2021","Analysis","South East (England)","870","830","38950","37320"
"In post","2021","Analysis","South West (England)","460","440","37040","35900"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","1080","1030","36250","36030"
"In post","2021","Analysis","West Midlands (England)","60","60","41250","38650"
"In post","2021","Analysis","Yorkshire and The Humber","350","330","41430","41990"
"In post","2021","Commercial","East Midlands (England)","160","160","40710","38150"
"In post","2021","Commercial","East of England","390","380","41190","37250"
"In post","2021","Commercial","London","1880","1840","58850","54700"
"In post","2021","Commercial","North East (England)","110","110","47070","44850"
"In post","2021","Commercial","North West (England)","780","750","43120","38630"
"In post","2021","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","40","40","[c]","[c]"
"In post","2021","Commercial","Scotland","390","380","38010","34800"
"In post","2021","Commercial","South East (England)","670","650","38950","34800"
"In post","2021","Commercial","South West (England)","1360","1310","42290","39650"
"In post","2021","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Wales","360","340","35620","31940"
"In post","2021","Commercial","West Midlands (England)","350","340","40330","36780"
"In post","2021","Commercial","Yorkshire and The Humber","460","450","45450","40470"
"In post","2021","Communications","East Midlands (England)","510","500","29800","25560"
"In post","2021","Communications","East of England","100","100","33240","31170"
"In post","2021","Communications","London","2450","2390","44780","40830"
"In post","2021","Communications","North East (England)","1540","1460","28000","25560"
"In post","2021","Communications","North West (England)","710","690","30860","27770"
"In post","2021","Communications","Northern Ireland","30","30","[c]","[c]"
"In post","2021","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","220","200","33030","31810"
"In post","2021","Communications","South East (England)","330","310","33090","31200"
"In post","2021","Communications","South West (England)","360","340","35930","33300"
"In post","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","960","920","29430","25560"
"In post","2021","Communications","West Midlands (England)","350","340","32890","31810"
"In post","2021","Communications","Yorkshire and The Humber","640","620","30540","25560"
"In post","2021","Counter Fraud","East Midlands (England)","540","510","33520","31810"
"In post","2021","Counter Fraud","East of England","450","410","28610","25560"
"In post","2021","Counter Fraud","London","2320","2230","39230","36160"
"In post","2021","Counter Fraud","North East (England)","540","510","32110","31810"
"In post","2021","Counter Fraud","North West (England)","1690","1590","33010","31810"
"In post","2021","Counter Fraud","Northern Ireland","400","370","31180","28130"
"In post","2021","Counter Fraud","Scotland","850","780","30650","28130"
"In post","2021","Counter Fraud","South East (England)","440","410","31330","29570"
"In post","2021","Counter Fraud","South West (England)","400","370","35390","31810"
"In post","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","400","370","31290","31810"
"In post","2021","Counter Fraud","West Midlands (England)","730","680","32160","31810"
"In post","2021","Counter Fraud","Yorkshire and The Humber","870","810","32420","31810"
"In post","2021","Debt","East Midlands (England)","260","230","21620","20140"
"In post","2021","Debt","East of England","140","120","24890","24670"
"In post","2021","Debt","London","560","500","28270","25630"
"In post","2021","Debt","North East (England)","590","540","21620","20140"
"In post","2021","Debt","North West (England)","340","310","23550","21440"
"In post","2021","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Scotland","1440","1300","21870","20140"
"In post","2021","Debt","South East (England)","110","90","27770","28130"
"In post","2021","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Wales","330","310","23140","20140"
"In post","2021","Debt","West Midlands (England)","440","400","22560","20140"
"In post","2021","Debt","Yorkshire and The Humber","420","380","23540","20640"
"In post","2021","Digital, Data & Technology","East Midlands (England)","310","300","36970","33150"
"In post","2021","Digital, Data & Technology","East of England","550","520","36240","33300"
"In post","2021","Digital, Data & Technology","London","3390","3330","49190","47850"
"In post","2021","Digital, Data & Technology","North East (England)","780","750","38740","37100"
"In post","2021","Digital, Data & Technology","North West (England)","880","860","38780","36500"
"In post","2021","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scotland","680","660","38400","34190"
"In post","2021","Digital, Data & Technology","South East (England)","910","880","38200","35350"
"In post","2021","Digital, Data & Technology","South West (England)","2340","2250","39100","38450"
"In post","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wales","1870","1830","39760","37240"
"In post","2021","Digital, Data & Technology","West Midlands (England)","980","950","40600","37100"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","850","830","39290","36500"
"In post","2021","Finance","East Midlands (England)","240","230","36040","31810"
"In post","2021","Finance","East of England","480","440","34820","31810"
"In post","2021","Finance","London","2550","2490","48750","43780"
"In post","2021","Finance","North East (England)","430","400","37020","31990"
"In post","2021","Finance","North West (England)","670","640","37560","33310"
"In post","2021","Finance","Northern Ireland","30","30","[c]","[c]"
"In post","2021","Finance","Overseas","30","30","[c]","[c]"
"In post","2021","Finance","Scotland","940","820","28760","24130"
"In post","2021","Finance","South East (England)","1010","960","36240","33300"
"In post","2021","Finance","South West (England)","1230","1170","39480","35130"
"In post","2021","Finance","Wales","390","370","34740","31040"
"In post","2021","Finance","West Midlands (England)","470","450","39550","36800"
"In post","2021","Finance","Yorkshire and The Humber","930","850","33170","28410"
"In post","2021","Grants Management","East Midlands (England)","70","70","25890","25190"
"In post","2021","Grants Management","East of England","50","50","26230","25190"
"In post","2021","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","North East (England)","260","240","25390","21050"
"In post","2021","Grants Management","North West (England)","750","670","24100","21050"
"In post","2021","Grants Management","South East (England)","180","170","28960","25500"
"In post","2021","Grants Management","South West (England)","240","220","26670","25190"
"In post","2021","Grants Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","West Midlands (England)","140","130","25150","24920"
"In post","2021","Grants Management","Yorkshire and The Humber","200","190","26510","24920"
"In post","2021","Human Resources","East Midlands (England)","500","470","36850","31810"
"In post","2021","Human Resources","East of England","210","190","35170","31780"
"In post","2021","Human Resources","London","2660","2580","46620","41820"
"In post","2021","Human Resources","North East (England)","610","570","28520","25550"
"In post","2021","Human Resources","North West (England)","1310","1240","33440","30610"
"In post","2021","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland","1060","990","29380","25560"
"In post","2021","Human Resources","South East (England)","590","560","35310","31180"
"In post","2021","Human Resources","South West (England)","1100","1020","36090","32730"
"In post","2021","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Wales","650","610","35120","31320"
"In post","2021","Human Resources","West Midlands (England)","350","330","38530","35000"
