"Status","Year","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Female","680","650","21610","21010"
"In post","2021","16-19","Male","650","640","20900","20230"
"In post","2021","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Female","41990","41130","28890","27570"
"In post","2021","20-29","Male","35410","35140","29260","27570"
"In post","2021","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Female","55510","50620","33740","29810"
"In post","2021","30-39","Male","47880","47430","35040","31420"
"In post","2021","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Female","62700","56150","35040","29570"
"In post","2021","40-49","Male","49590","48930","37830","32100"
"In post","2021","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Female","76490","69360","32570","27570"
"In post","2021","50-59","Male","64540","62770","37310","32470"
"In post","2021","60-64","Female","19860","15680","29000","26520"
"In post","2021","60-64","Male","17850","15350","34600","30000"
"In post","2021","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","5420","3990","27720","25110"
"In post","2021","65+","Male","6220","4900","33060","27650"
"In post","2021","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","620","590","22230","21260"
"In post","2022","16-19","Male","660","640","21390","21250"
"In post","2022","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Female","47070","46170","29560","27570"
"In post","2022","20-29","Male","37500","37250","30000","27570"
"In post","2022","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Female","59810","55070","34510","30820"
"In post","2022","30-39","Male","51710","51220","35830","32120"
"In post","2022","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Female","65310","58860","36030","30950"
"In post","2022","40-49","Male","51190","50520","38760","33370"
"In post","2022","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Female","77720","70810","33480","27570"
"In post","2022","50-59","Male","65320","63610","37960","33300"
"In post","2022","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Female","21620","17270","29700","27130"
"In post","2022","60-64","Male","18950","16350","35140","30980"
"In post","2022","65+","Female","5910","4390","28570","25640"
"In post","2022","65+","Male","6680","5300","33530","28550"
"In post","2022","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","50","50","[c]","[c]"
"Leaver CS","2021","16-19","Male","60","50","[c]","[c]"
"Leaver CS","2021","20-29","Female","2810","2690","25010","22650"
"Leaver CS","2021","20-29","Male","2550","2460","26090","24360"
"Leaver CS","2021","20-29","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","30-39","Female","2120","1870","32410","27570"
"Leaver CS","2021","30-39","Male","1930","1870","35020","30880"
"Leaver CS","2021","30-39","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Female","1930","1660","35450","28170"
"Leaver CS","2021","40-49","Male","1480","1410","37380","29930"
"Leaver CS","2021","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","3480","3000","33320","27570"
"Leaver CS","2021","50-59","Male","2910","2760","39140","32700"
"Leaver CS","2021","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","2380","1850","32820","27240"
"Leaver CS","2021","60-64","Male","2310","2010","38420","33210"
"Leaver CS","2021","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","1780","1230","26540","22590"
"Leaver CS","2021","65+","Male","1820","1390","31900","26890"
"Leaver CS","2021","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","60","[c]","[c]","[c]"
