"Status","Year","Sex","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","Declared disabled","610","550","43580","39890"
"In post","2021","Female","Attorney General's Departments","Declared non-disabled","4350","3920","44510","48080"
"In post","2021","Female","Attorney General's Departments","Undeclared","90","80","54330","52730"
"In post","2021","Female","Attorney General's Departments","Unknown","1340","1250","40530","38000"
"In post","2021","Female","Cabinet Office","Declared disabled","390","370","43210","38420"
"In post","2021","Female","Cabinet Office","Declared non-disabled","2390","2300","46490","40600"
"In post","2021","Female","Cabinet Office","Undeclared","140","140","42530","36200"
"In post","2021","Female","Cabinet Office","Unknown","2120","2090","42310","32000"
"In post","2021","Female","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Declared non-disabled","140","140","52570","45760"
"In post","2021","Female","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Declared non-disabled","120","110","35790","29160"
"In post","2021","Female","Charity Commission","Unknown","120","110","33160","29160"
"In post","2021","Female","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Declared non-disabled","360","340","57760","55860"
"In post","2021","Female","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Declared disabled","590","550","38920","33640"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Declared non-disabled","4260","4000","40540","38790"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Undeclared","180","180","43060","40050"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Unknown","1460","1360","34310","30990"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Declared disabled","70","70","46980","39190"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Declared non-disabled","720","700","48500","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Undeclared","40","40","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Unknown","140","130","47880","51730"
"In post","2021","Female","Department for Education","Declared disabled","440","410","41390","37040"
"In post","2021","Female","Department for Education","Declared non-disabled","3250","3070","44130","40510"
"In post","2021","Female","Department for Education","Undeclared","210","200","43470","37100"
"In post","2021","Female","Department for Education","Unknown","750","720","39650","36500"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Declared disabled","690","630","33400","29720"
