"Status","Year","Region_ITL1","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","White","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","White","130","120","41390","38550"
"In post","2021","East Midlands (England)","Communications","Asian","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Unknown","190","190","27870","25560"
"In post","2021","East Midlands (England)","Communications","White","250","240","31560","27570"
"In post","2021","East Midlands (England)","Counter Fraud","Asian","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Unknown","90","90","31170","28130"
"In post","2021","East Midlands (England)","Counter Fraud","White","360","340","34720","31810"
"In post","2021","East Midlands (England)","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Unknown","120","110","20430","20140"
"In post","2021","East Midlands (England)","Debt","White","100","90","22670","20140"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Unknown","60","50","36810","32010"
"In post","2021","East Midlands (England)","Digital, Data & Technology","White","200","200","37520","35030"
"In post","2021","East Midlands (England)","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","White","170","160","35540","31810"
"In post","2021","East Midlands (England)","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Unknown","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Asian","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Unknown","70","70","35080","31810"
"In post","2021","East Midlands (England)","Human Resources","White","360","340","37720","33300"
"In post","2021","East Midlands (England)","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Asian","70","60","38200","35140"
"In post","2021","East Midlands (England)","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Unknown","70","70","33620","28430"
"In post","2021","East Midlands (England)","Legal","White","410","370","38830","34480"
"In post","2021","East Midlands (England)","No function","Asian","750","670","26120","22350"
"In post","2021","East Midlands (England)","No function","Black","250","230","26130","22850"
"In post","2021","East Midlands (England)","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Mixed","170","160","29930","25790"
"In post","2021","East Midlands (England)","No function","Other ethnicity","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","No function","Undeclared","440","410","30750","27680"
"In post","2021","East Midlands (England)","No function","Unknown","1500","1400","26320","24250"
"In post","2021","East Midlands (England)","No function","White","7830","7270","30020","27130"
"In post","2021","East Midlands (England)","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","White","530","510","38060","35630"
"In post","2021","East Midlands (England)","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Unknown","110","100","28940","25500"
"In post","2021","East Midlands (England)","Property","White","350","330","34610","32100"
"In post","2021","East Midlands (England)","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Other ethnicity","[c]","[c]","[c]","[c]"
