"Status","Year","Function_of_post","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Science and Engineering","350","330","34330","30220"
"In post","2021","Analysis","East of England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Digital, Data and Technology","80","80","47300","44740"
"In post","2021","Analysis","London","Economics","1070","1050","47760","42020"
"In post","2021","Analysis","London","Finance","30","30","[c]","[c]"
"In post","2021","Analysis","London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Intelligence Analysis","210","210","54010","53360"
"In post","2021","Analysis","London","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Operational Delivery","80","80","39530","32540"
"In post","2021","Analysis","London","Operational Research","280","270","49340","48170"
"In post","2021","Analysis","London","Other","210","200","64030","57250"
"In post","2021","Analysis","London","Policy","220","210","50490","46030"
"In post","2021","Analysis","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Social Research","330","320","46450","42470"
"In post","2021","Analysis","London","Statistics","790","760","46960","42470"
"In post","2021","Analysis","London","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","70","70","46050","41760"
