"Status","Year","Sexual_orientation","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Commercial","2810","2720","40840","37540"
"In post","2021","Heterosexual / straight","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","No function","200","190","44500","37280"
"In post","2021","Heterosexual / straight","Commercial","Project Delivery","620","600","38510","34770"
"In post","2021","Heterosexual / straight","Commercial","Property","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Unknown","90","90","40460","41940"
"In post","2021","Heterosexual / straight","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Communications","2180","2100","41220","37560"
"In post","2021","Heterosexual / straight","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","No function","80","80","42340","40050"
"In post","2021","Heterosexual / straight","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Unknown","270","260","44250","41730"
"In post","2021","Heterosexual / straight","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Finance","90","90","47570","46080"
"In post","2021","Heterosexual / straight","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Counter Fraud","420","400","41080","38510"
"In post","2021","Heterosexual / straight","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Unknown","160","140","27010","25310"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Analysis","170","160","41960","42000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Digital, Data & Technology","6500","6310","41430","38450"
