"Status","Year","Region_ITL2","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Declared disabled","400","370","31420","29290"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Declared non-disabled","2480","2320","32310","29290"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Undeclared","110","110","31280","29290"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Unknown","220","220","36990","34140"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Declared non-disabled","100","100","31900","29430"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Declared disabled","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Declared non-disabled","230","210","32250","29670"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Undeclared","110","100","33810","31420"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared non-disabled","320","280","32990","29750"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","390","370","31950","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Declared disabled","770","730","31640","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Declared non-disabled","5170","4940","32810","29290"
