"Status","Year","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","176000","159890","32820","27920"
"In post","2021","Heterosexual / straight","Male","140960","136850","35570","31520"
"In post","2021","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","9030","8700","32690","28590"
"In post","2021","LGBO","Male","9780","9570","36010","31060"
"In post","2021","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","22760","20250","31860","27570"
"In post","2021","Undeclared","Male","20920","20060","35680","31810"
"In post","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","54890","48770","31320","27570"
"In post","2021","Unknown","Male","50500","48690","34110","30330"
"In post","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","189600","173040","33590","28920"
"In post","2022","Heterosexual / straight","Male","149640","145380","36220","31880"
"In post","2022","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","11000","10610","33310","29290"
"In post","2022","LGBO","Male","11040","10820","36510","31660"
"In post","2022","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","22300","20020","33340","28650"
"In post","2022","Undeclared","Male","20940","20100","36820","32960"
"In post","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","55160","49500","31860","27570"
"In post","2022","Unknown","Male","50380","48600","34760","30750"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","6310","5460","30940","26600"
"Leaver CS","2021","Heterosexual / straight","Male","6040","5620","34800","28910"
"Leaver CS","2021","Heterosexual / straight","Unknown","50","50","41550","39850"
"Leaver CS","2021","LGBO","Female","400","380","30540","25310"
"Leaver CS","2021","LGBO","Male","360","340","34210","27570"
"Leaver CS","2021","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","980","820","31040","26670"
"Leaver CS","2021","Undeclared","Male","1000","900","35520","30440"
"Leaver CS","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","6930","5700","30350","26410"
"Leaver CS","2021","Unknown","Male","5700","5120","33740","27570"
"Leaver CS","2021","Unknown","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Female","12890","11290","32070","27570"
"Leaver CS","2022","Heterosexual / straight","Male","11230","10510","34700","29070"
"Leaver CS","2022","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Female","990","930","30300","27570"
"Leaver CS","2022","LGBO","Male","870","830","33480","27570"
"Leaver CS","2022","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","1890","1390","31680","27570"
"Leaver CS","2022","Undeclared","Male","1700","1400","36210","31520"
"Leaver CS","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","7650","6470","31360","27130"
"Leaver CS","2022","Unknown","Male","7000","6380","34630","28980"
"Leaver Dept.","2021","Heterosexual / straight","Female","3460","3320","37070","32000"
"Leaver Dept.","2021","Heterosexual / straight","Male","2530","2480","38450","33280"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","260","260","35620","32560"
"Leaver Dept.","2021","LGBO","Male","320","320","37590","32090"
"Leaver Dept.","2021","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","380","360","39870","35070"
"Leaver Dept.","2021","Undeclared","Male","320","310","38490","33870"
"Leaver Dept.","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","2510","2200","36990","32000"
"Leaver Dept.","2021","Unknown","Male","2190","1980","37860","33120"
"Leaver Dept.","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
