"Status","Year","Profession_of_post","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","70","70","43520","40850"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","70","60","36070","35300"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
