"Status","Year","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","630","590","37220","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Other","60","60","27150","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","80","80","51630","52940"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","900","840","33490","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","350","320","23650","21440"
"In post","2021","Angus and Dundee City","Other","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","80","70","26440","21440"
"In post","2021","Angus and Dundee City","Unknown","1390","1290","26390","22230"
"In post","2021","Antrim and Newtownabbey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other","60","60","20950","20310"
"In post","2021","Antrim and Newtownabbey","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Other","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","90","90","21100","20310"
"In post","2021","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Other","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","130","120","27800","26150"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","460","420","30980","31060"
"In post","2021","Barnet","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","170","160","45900","44950"
"In post","2021","Barnet","Finance","40","40","[c]","[c]"
"In post","2021","Barnet","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Medicine","40","30","[c]","[c]"
"In post","2021","Barnet","Operational Delivery","510","470","35580","32200"
"In post","2021","Barnet","Other","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Science and Engineering","540","510","40860","40070"
"In post","2021","Barnet","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","310","280","31360","31060"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","1430","1320","27700","26580"
"In post","2021","Barnsley, Doncaster and Rotherham","Other","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Psychology","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","80","80","39250","40190"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","1370","1160","25120","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","1160","1110","39660","37400"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","60","60","37320","36010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","380","370","41700","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","790","760","40440","38150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","460","420","34180","29000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","240","230","37780","33890"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Delivery","1300","1220","30690","28600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","2320","2200","34440","32480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","120","110","42450","40110"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","2920","2830","41220","39980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","130","130","37080","35130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","2560","2520","39010","39530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","180","180","31540","30820"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Statistics","60","50","40280","37050"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","580","540","36200","27570"
"In post","2021","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Operational Delivery","600","560","30330","28990"
"In post","2021","Bedford","Other","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","170","160","28010","27570"
"In post","2021","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Legal","160","160","29580","26600"
"In post","2021","Belfast","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","1570","1430","25940","24880"
"In post","2021","Belfast","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Other","70","70","28220","22330"
"In post","2021","Belfast","Policy","70","70","41620","37910"
"In post","2021","Belfast","Project Delivery","40","40","[c]","[c]"
"In post","2021","Belfast","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Security","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Tax","630","600","32790","31810"
"In post","2021","Belfast","Unknown","120","120","27600","25560"
"In post","2021","Belfast","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Digital, Data and Technology","110","100","40070","36460"
"In post","2021","Berkshire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Finance","50","50","[c]","[c]"
"In post","2021","Berkshire","Human Resources","40","40","[c]","[c]"
"In post","2021","Berkshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","International Trade","60","60","43640","38540"
"In post","2021","Berkshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Legal","150","140","47200","46660"
"In post","2021","Berkshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Operational Delivery","760","720","29660","26520"
"In post","2021","Berkshire","Other","190","190","29800","26670"
"In post","2021","Berkshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Policy","30","30","[c]","[c]"
"In post","2021","Berkshire","Project Delivery","70","70","45990","40580"
"In post","2021","Berkshire","Property","50","50","31390","33300"
"In post","2021","Berkshire","Science and Engineering","50","50","42800","40000"
"In post","2021","Berkshire","Security","630","630","34920","39070"
"In post","2021","Berkshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Tax","170","160","37710","35000"
"In post","2021","Berkshire","Unknown","470","440","30000","29290"
"In post","2021","Bexley and Greenwich","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Operational Delivery","1200","1150","31560","31590"
"In post","2021","Bexley and Greenwich","Other","40","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","390","370","31080","31060"
"In post","2021","Birmingham","Commercial","70","70","39140","36740"
"In post","2021","Birmingham","Communications","40","40","[c]","[c]"
"In post","2021","Birmingham","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Counter Fraud","70","70","37490","37380"
"In post","2021","Birmingham","Digital, Data and Technology","230","230","41160","38180"
"In post","2021","Birmingham","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Finance","100","90","44610","41060"
"In post","2021","Birmingham","Human Resources","100","90","40580","39540"
"In post","2021","Birmingham","Inspector of Education and Training","100","100","65740","64500"
"In post","2021","Birmingham","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Knowledge and Information Management","70","60","34650","29580"
"In post","2021","Birmingham","Legal","380","360","46790","48830"
"In post","2021","Birmingham","Medicine","40","30","[c]","[c]"
"In post","2021","Birmingham","Operational Delivery","5480","5100","27280","23470"
"In post","2021","Birmingham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Other","140","140","29340","22080"
"In post","2021","Birmingham","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Policy","260","250","39170","32610"
"In post","2021","Birmingham","Project Delivery","250","250","42250","40000"
"In post","2021","Birmingham","Property","210","190","34740","31810"
"In post","2021","Birmingham","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Science and Engineering","200","180","38410","36330"
"In post","2021","Birmingham","Security","50","50","[c]","[c]"
"In post","2021","Birmingham","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Tax","1210","1150","33990","31810"
"In post","2021","Birmingham","Unknown","2470","2220","27700","27570"
"In post","2021","Birmingham","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Operational Delivery","130","120","26330","23850"
"In post","2021","Blackburn with Darwen","Other","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","360","320","26650","27570"
"In post","2021","Blackpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Operational Delivery","140","120","26270","23840"
"In post","2021","Blackpool","Other","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Unknown","4940","4510","28910","27570"
"In post","2021","Bournemouth and Poole","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Operational Delivery","320","280","26060","24890"
"In post","2021","Bournemouth and Poole","Other","40","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Unknown","290","250","27330","27570"
"In post","2021","Bradford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Digital, Data and Technology","190","180","37590","31870"
"In post","2021","Bradford","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Finance","210","170","24290","21440"
"In post","2021","Bradford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Operational Delivery","1250","1090","24730","21440"
"In post","2021","Bradford","Other","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Project Delivery","100","90","42150","38630"
"In post","2021","Bradford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Tax","280","250","28990","25560"
"In post","2021","Bradford","Unknown","990","870","25980","27570"
"In post","2021","Breckland and South Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Operational Delivery","410","390","27710","25790"
"In post","2021","Breckland and South Norfolk","Other","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Unknown","60","50","27890","27570"
"In post","2021","Brent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Operational Delivery","210","190","27980","23850"
"In post","2021","Brent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Property","120","110","37030","34810"
"In post","2021","Brent","Unknown","260","240","30450","31060"
"In post","2021","Bridgend and Neath Port Talbot","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Operational Delivery","240","220","29520","26070"
"In post","2021","Bridgend and Neath Port Talbot","Other","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","460","400","25730","27570"
"In post","2021","Brighton and Hove","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Legal","70","60","56110","56560"
"In post","2021","Brighton and Hove","Operational Delivery","290","260","26720","23470"
"In post","2021","Brighton and Hove","Other","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Property","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Security","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Unknown","280","250","27630","27570"
"In post","2021","Bristol, City of","Commercial","80","80","39830","39230"
"In post","2021","Bristol, City of","Communications","90","80","37980","36500"
"In post","2021","Bristol, City of","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Digital, Data and Technology","320","310","41480","39660"
"In post","2021","Bristol, City of","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Finance","130","130","41290","36970"
"In post","2021","Bristol, City of","Human Resources","140","140","40500","38640"
"In post","2021","Bristol, City of","Inspector of Education and Training","80","70","66220","70500"
"In post","2021","Bristol, City of","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Knowledge and Information Management","70","70","36500","33450"
"In post","2021","Bristol, City of","Legal","270","260","39310","32100"
"In post","2021","Bristol, City of","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Operational Delivery","2040","1900","29630","25560"
"In post","2021","Bristol, City of","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Other","110","100","31750","25880"
"In post","2021","Bristol, City of","Planning","40","40","[c]","[c]"
"In post","2021","Bristol, City of","Planning Inspectors","320","280","57780","58810"
"In post","2021","Bristol, City of","Policy","490","460","39920","36520"
"In post","2021","Bristol, City of","Project Delivery","130","120","41790","39300"
"In post","2021","Bristol, City of","Property","160","150","38110","33250"
"In post","2021","Bristol, City of","Science and Engineering","240","220","35920","35610"
"In post","2021","Bristol, City of","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Statistics","110","100","39210","32010"
"In post","2021","Bristol, City of","Tax","570","530","39780","32020"
"In post","2021","Bristol, City of","Unknown","1090","970","27830","27570"
"In post","2021","Bristol, City of","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Legal","[c]","[c]","[c]","[c]"
