"Status","Year","Organisation","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","White","90","80","32680","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Asian","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Black","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","290","280","29090","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","White","660","600","34680","34390"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Asian","60","50","27980","26530"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Mixed","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","160","150","32570","29890"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","240","210","29620","25520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","White","2160","2040","30650","27860"
"In post","2021","Attorney General's Office","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Asian","470","460","45860","40600"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Black","260","250","41960","35590"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Mixed","190","190","47050","40420"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Other ethnicity","70","70","46530","38700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","230","230","47670","42740"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","4030","3990","45110","33000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","White","4170","4060","48490","41820"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","White","560","530","34030","29750"
