"Status","Year","Region_ITL2","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","Hertfordshire","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Hertfordshire","100","90","45090","39600"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Hertfordshire","110","100","53060","54390"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Bedford","600","560","30330","28990"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Central Bedfordshire","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Hertfordshire","1080","1020","30860","29750"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Luton","350","310","25550","24890"
"In post","2021","Bedfordshire and Hertfordshire","Other","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Central Bedfordshire","110","110","25080","21130"
"In post","2021","Bedfordshire and Hertfordshire","Other","Hertfordshire","50","50","32680","26090"
"In post","2021","Bedfordshire and Hertfordshire","Other","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Hertfordshire","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Hertfordshire","100","100","44920","43170"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Central Bedfordshire","[c]","[c]","[c]","[c]"
