"Status","Year","Sexual_orientation","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Veterinarian","220","210","44310","40260"
"In post","2021","Heterosexual / straight","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Unknown","4350","4230","48050","40600"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","170","160","32800","29270"
"In post","2021","Heterosexual / straight","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Unknown","90","80","33710","29160"
"In post","2021","Heterosexual / straight","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Digital, Data and Technology","170","170","39590","38000"
"In post","2021","Heterosexual / straight","Companies House","Finance","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Human Resources","70","60","32790","27460"
"In post","2021","Heterosexual / straight","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Operational Delivery","340","310","25130","22490"
"In post","2021","Heterosexual / straight","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Digital, Data and Technology","60","60","56130","51270"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Economics","70","70","62960","59140"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Legal","100","100","69190","72430"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Project Delivery","310","290","59750","56360"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Operational Delivery","180","170","26020","22570"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Commercial","250","240","34760","34800"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Digital, Data and Technology","80","80","42190","38600"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Operational Delivery","130","130","42190","37110"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Legal","480","450","54190","52490"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Operational Delivery","1120","1030","26430","22220"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Communications","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Digital, Data and Technology","100","90","39780","38180"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Finance","90","80","33050","30370"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Human Resources","120","120","40840","34160"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Legal","2170","2030","54420","54200"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Operational Delivery","2180","2020","27580","25480"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Policy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Science and Engineering","70","60","24730","27460"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Commercial","710","680","39480","35300"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Communications","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Digital, Data and Technology","300","290","41410","40810"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Finance","370","360","38700","31800"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Human Resources","160","150","38010","32890"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Knowledge and Information Management","130","130","35760","33120"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Other","2810","2680","31580","28000"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Policy","60","50","44070","41070"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Project Delivery","1820","1770","40410","39100"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Property","90","90","35770","33320"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Science and Engineering","1950","1910","37400","36880"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Commercial","60","60","33660","35520"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Corporate Finance","50","50","40410","37830"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Digital, Data and Technology","80","80","46670","46080"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Human Resources","70","70","34000","28650"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Operational Delivery","300","280","38550","37320"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Operational Research","380","360","42980","46080"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Project Delivery","350","330","40320","37320"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Science and Engineering","1610","1560","39870","37320"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","80","80","49260","45270"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","100","90","46630","40220"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","200","200","47690","44300"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","130","130","52150","54650"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","110","100","48310","49090"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","380","370","45110","40050"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","2640","2580","50280","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","60","60","51160","49200"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Communications","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Economics","60","60","53530","59730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Finance","50","50","57180","55260"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Human Resources","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Other","70","60","40990","34330"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Policy","730","720","48940","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Project Delivery","150","150","49280","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Commercial","150","150","40460","38000"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Communications","150","140","38310","33660"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Digital, Data and Technology","390","370","40390","37100"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Finance","340","330","43250","41630"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Human Resources","100","100","36180","30980"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Legal","50","50","54200","55990"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Operational Delivery","460","440","41000","36780"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Policy","1870","1780","45660","41140"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Project Delivery","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Property","430","420","51320","53420"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","110","100","38970","36970"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","180","170","41010","37360"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","480","460","44580","47550"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","110","110","44590","47550"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","320","310","43550","38110"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","200","190","43190","38730"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","70","70","38440","35900"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","1620","1570","42940","38300"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","160","160","42400","37240"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","300","290","37470","35900"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","110","110","44210","39910"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","60","60","38470","32560"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Communications","70","70","43600","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","Digital, Data and Technology","60","60","45480","43000"
"In post","2021","Heterosexual / straight","Department for International Trade","Economics","100","100","44500","51710"
"In post","2021","Heterosexual / straight","Department for International Trade","Finance","60","60","50940","51970"
"In post","2021","Heterosexual / straight","Department for International Trade","Human Resources","80","80","44470","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","International Trade","730","720","49200","51710"
"In post","2021","Heterosexual / straight","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Operational Delivery","60","60","38590","32120"
"In post","2021","Heterosexual / straight","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Other","90","90","39430","33420"
"In post","2021","Heterosexual / straight","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Policy","120","120","45570","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","Project Delivery","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Statistics","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Commercial","60","60","52370","54110"
