"Status","Year","Disability","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","90","80","32080","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Heterosexual / straight","260","240","28170","25190"
"In post","2021","Declared disabled","Animal and Plant Health Agency","LGBO","40","30","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Heterosexual / straight","530","500","43730","37300"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","LGBO","90","90","44810","40600"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Undeclared","80","80","44900","40580"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Heterosexual / straight","60","50","32520","25870"
"In post","2021","Declared disabled","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Heterosexual / straight","80","70","37880","33300"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Heterosexual / straight","550","510","41870","38000"
"In post","2021","Declared disabled","Crown Prosecution Service","LGBO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Unknown","100","90","42870","42770"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
