"Status","Year","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","900","840","42470","40800"
"In post","2021","Attorney General's Departments","Black","560","530","40370","32410"
"In post","2021","Attorney General's Departments","Chinese","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","280","260","46760","50520"
"In post","2021","Attorney General's Departments","Other ethnicity","130","120","50810","52290"
"In post","2021","Attorney General's Departments","Undeclared","160","150","44300","45220"
"In post","2021","Attorney General's Departments","Unknown","1160","1090","46540","49960"
"In post","2021","Attorney General's Departments","White","6600","6140","45430","48830"
"In post","2021","Cabinet Office","Asian","470","460","45860","40600"
"In post","2021","Cabinet Office","Black","260","250","41960","35590"
"In post","2021","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","190","190","47050","40420"
"In post","2021","Cabinet Office","Other ethnicity","70","70","46530","38700"
"In post","2021","Cabinet Office","Undeclared","230","230","47670","42740"
"In post","2021","Cabinet Office","Unknown","4030","3990","45110","33000"
"In post","2021","Cabinet Office","White","4170","4060","48490","41820"
"In post","2021","Chancellor's other departments","Asian","50","50","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","270","260","63480","53310"
"In post","2021","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","90","80","36320","29380"
"In post","2021","Charity Commission","White","330","310","34330","29160"
"In post","2021","Competition and Markets Authority","Asian","110","100","46180","37680"
