"Status","Year","Function_of_post","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
