"Status","Year","Ethnicity","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Finance","60","50","22250","21440"
"In post","2021","Asian","AA/AO","Human Resources","50","50","22520","21400"
"In post","2021","Asian","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Medicine","30","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Operational Delivery","4460","3950","22480","21430"
"In post","2021","Asian","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Other","230","210","22490","21590"
"In post","2021","Asian","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Policy","80","70","23530","23500"
"In post","2021","Asian","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Science and Engineering","70","60","22720","22830"
"In post","2021","Asian","AA/AO","Security","160","150","24210","22210"
"In post","2021","Asian","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Tax","280","250","20390","20140"
"In post","2021","Asian","AA/AO","Unknown","2450","2070","21710","21010"
"In post","2021","Asian","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Commercial","40","30","[c]","[c]"
"In post","2021","Asian","EO","Communications","40","40","[c]","[c]"
"In post","2021","Asian","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Digital, Data and Technology","150","150","27920","27130"
"In post","2021","Asian","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Finance","140","130","27250","26670"
"In post","2021","Asian","EO","Human Resources","80","80","27920","27670"
"In post","2021","Asian","EO","Intelligence Analysis","110","100","28530","28990"
"In post","2021","Asian","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Asian","EO","Legal","130","130","28150","29570"
"In post","2021","Asian","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Operational Delivery","3040","2820","27550","27790"
"In post","2021","Asian","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Other","270","250","26620","27400"
"In post","2021","Asian","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Policy","290","280","28770","28670"
"In post","2021","Asian","EO","Project Delivery","130","130","27320","27170"
"In post","2021","Asian","EO","Property","90","90","28150","28330"
"In post","2021","Asian","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Science and Engineering","90","90","26300","27200"
"In post","2021","Asian","EO","Security","50","50","[c]","[c]"
"In post","2021","Asian","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Tax","340","320","27540","25560"
"In post","2021","Asian","EO","Unknown","4710","4360","28940","27570"
"In post","2021","Asian","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Digital, Data and Technology","230","230","60460","59960"
"In post","2021","Asian","G6/G7","Economics","80","80","59410","58850"
"In post","2021","Asian","G6/G7","Finance","150","150","59650","58920"
"In post","2021","Asian","G6/G7","Human Resources","60","60","59780","58950"
"In post","2021","Asian","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Legal","470","430","57490","54800"
"In post","2021","Asian","G6/G7","Medicine","60","50","71560","71600"
"In post","2021","Asian","G6/G7","Operational Delivery","260","260","57620","55930"
"In post","2021","Asian","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Other","90","90","61210","58420"
"In post","2021","Asian","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Policy","570","560","57830","56120"
"In post","2021","Asian","G6/G7","Project Delivery","180","180","57930","57300"
"In post","2021","Asian","G6/G7","Property","40","40","[c]","[c]"
"In post","2021","Asian","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Science and Engineering","80","70","57500","55130"
"In post","2021","Asian","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Statistics","40","40","[c]","[c]"
"In post","2021","Asian","G6/G7","Tax","150","150","56100","52580"
"In post","2021","Asian","G6/G7","Unknown","350","340","58410","56370"
"In post","2021","Asian","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Medicine","80","70","106250","101490"
"In post","2021","Asian","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Policy","70","70","81410","76350"
"In post","2021","Asian","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Unknown","50","50","91910","90000"
"In post","2021","Asian","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Commercial","140","140","37870","36960"
"In post","2021","Asian","SEO/HEO","Communications","100","100","38040","37320"
"In post","2021","Asian","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Digital, Data and Technology","450","440","38340","38070"
"In post","2021","Asian","SEO/HEO","Economics","70","70","34300","33170"
"In post","2021","Asian","SEO/HEO","Finance","380","370","37770","36960"
"In post","2021","Asian","SEO/HEO","Human Resources","200","200","36650","35580"
"In post","2021","Asian","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Intelligence Analysis","50","50","37440","35970"
"In post","2021","Asian","SEO/HEO","Internal Audit","50","40","[c]","[c]"
"In post","2021","Asian","SEO/HEO","International Trade","60","60","35440","35490"
"In post","2021","Asian","SEO/HEO","Knowledge and Information Management","50","50","35520","35200"
"In post","2021","Asian","SEO/HEO","Legal","260","250","38390","38640"
"In post","2021","Asian","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Operational Delivery","1780","1690","36650","35200"
"In post","2021","Asian","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Other","260","250","36980","35470"
"In post","2021","Asian","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Policy","920","900","36950","36160"
"In post","2021","Asian","SEO/HEO","Project Delivery","470","460","37280","37000"
"In post","2021","Asian","SEO/HEO","Property","90","90","38660","37450"
"In post","2021","Asian","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
