"Status","Year","Responsibility_level","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Declared disabled","Female","9230","7730","21540","21010"
"In post","2021","AA/AO","Declared disabled","Male","6310","5900","22630","21010"
"In post","2021","AA/AO","Declared non-disabled","Female","51590","43910","21730","21010"
"In post","2021","AA/AO","Declared non-disabled","Male","36950","35490","23350","21430"
"In post","2021","AA/AO","Undeclared","Female","4410","3780","22710","21430"
"In post","2021","AA/AO","Undeclared","Male","5170","4830","25800","23240"
"In post","2021","AA/AO","Unknown","Female","14110","12530","21640","21050"
"In post","2021","AA/AO","Unknown","Male","12900","12440","22900","21130"
"In post","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Female","9790","8640","27630","27570"
"In post","2021","EO","Declared disabled","Male","5890","5580","28070","27570"
"In post","2021","EO","Declared non-disabled","Female","50990","45570","27470","27570"
"In post","2021","EO","Declared non-disabled","Male","36440","35110","27830","27570"
"In post","2021","EO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Female","3440","3150","27820","27570"
"In post","2021","EO","Undeclared","Male","3760","3610","28960","27570"
"In post","2021","EO","Unknown","Female","9240","8680","27730","27510"
"In post","2021","EO","Unknown","Male","9340","9100","28380","27570"
"In post","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Female","2460","2340","57990","55960"
"In post","2021","G6/G7","Declared disabled","Male","2160","2110","58760","57110"
"In post","2021","G6/G7","Declared non-disabled","Female","20920","19770","58360","56520"
"In post","2021","G6/G7","Declared non-disabled","Male","22280","21840","59400","57620"
"In post","2021","G6/G7","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Female","1290","1230","58140","56350"
"In post","2021","G6/G7","Undeclared","Male","1860","1830","58930","57130"
"In post","2021","G6/G7","Unknown","Female","5520","5240","58240","55610"
"In post","2021","G6/G7","Unknown","Male","5930","5820","59090","56520"
"In post","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Female","200","190","86880","80000"
"In post","2021","SCS","Declared disabled","Male","220","220","90630","82230"
"In post","2021","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","Female","2350","2230","87510","80320"
"In post","2021","SCS","Declared non-disabled","Male","2690","2640","92220","83800"
"In post","2021","SCS","Undeclared","Female","130","120","85140","80900"
"In post","2021","SCS","Undeclared","Male","170","160","92240","83180"
"In post","2021","SCS","Unknown","Female","730","700","91630","81760"
"In post","2021","SCS","Unknown","Male","810","800","94100","83840"
"In post","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Declared disabled","Female","6530","6130","36150","35070"
"In post","2021","SEO/HEO","Declared disabled","Male","5270","5100","37150","36260"
"In post","2021","SEO/HEO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Declared non-disabled","Female","44650","42080","36390","35310"
"In post","2021","SEO/HEO","Declared non-disabled","Male","41540","40590","37430","36590"
"In post","2021","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Female","3420","3250","36770","36160"
"In post","2021","SEO/HEO","Undeclared","Male","4370","4270","37880","37280"
"In post","2021","SEO/HEO","Unknown","Female","11350","10860","35820","35050"
"In post","2021","SEO/HEO","Unknown","Male","11860","11630","36800","36160"
"In post","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Female","1870","1730","30500","30210"
"In post","2021","Unknown","Declared disabled","Male","600","570","34000","33880"
"In post","2021","Unknown","Declared non-disabled","Female","7240","6630","30520","30210"
"In post","2021","Unknown","Declared non-disabled","Male","3270","3190","35270","33360"
"In post","2021","Unknown","Undeclared","Female","410","380","31120","30210"
"In post","2021","Unknown","Undeclared","Male","300","290","35820","34120"
"In post","2021","Unknown","Unknown","Female","800","740","27890","23840"
"In post","2021","Unknown","Unknown","Male","2080","2060","37310","33950"
"In post","2022","AA/AO","Declared disabled","Female","9420","7910","22030","21260"
"In post","2022","AA/AO","Declared disabled","Male","6310","5890","23040","21260"
"In post","2022","AA/AO","Declared non-disabled","Female","50520","43300","22190","21260"
"In post","2022","AA/AO","Declared non-disabled","Male","36380","34960","23730","21680"
"In post","2022","AA/AO","Undeclared","Female","4110","3520","23070","21550"
"In post","2022","AA/AO","Undeclared","Male","4690","4360","25850","22750"
"In post","2022","AA/AO","Unknown","Female","13490","12030","22410","21680"
"In post","2022","AA/AO","Unknown","Male","12260","11820","23560","21680"
"In post","2022","EO","Declared disabled","Female","10170","8990","27830","27570"
"In post","2022","EO","Declared disabled","Male","6110","5790","28220","27570"
"In post","2022","EO","Declared non-disabled","Female","50930","45700","27670","27570"
"In post","2022","EO","Declared non-disabled","Male","36300","35080","28020","27570"
"In post","2022","EO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Female","3270","2970","28020","27570"
"In post","2022","EO","Undeclared","Male","3600","3450","29110","27570"
"In post","2022","EO","Unknown","Female","10510","9940","28160","27230"
"In post","2022","EO","Unknown","Male","10380","10080","28880","27460"
"In post","2022","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Declared disabled","Female","2960","2820","58090","55550"
"In post","2022","G6/G7","Declared disabled","Male","2430","2370","59190","57430"
