"Status","Year","Region_ITL3","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Operational Delivery","280","260","29410","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Other","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Policy","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Unknown","490","440","31840","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Operational Delivery","350","330","43520","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Policy","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Security","80","80","41160","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Unknown","410","390","35490","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Operational Delivery","210","180","24290","21490"
"In post","2021","Angus and Dundee City","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Tax","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Unknown","870","780","26580","23340"
"In post","2021","Angus and Dundee City","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Operational Delivery","140","140","22700","21400"
"In post","2021","Angus and Dundee City","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Tax","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Unknown","520","500","26050","21150"
"In post","2021","Antrim and Newtownabbey","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Other","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Security","70","70","21120","20310"
"In post","2021","Antrim and Newtownabbey","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Male","Other","[c]","[c]","[c]","[c]"
