"Status","Year","Region_ITL1","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Advisory, Conciliation and Arbitration Service","100","90","29690","30950"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Crown Prosecution Service","270","260","37450","30370"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Education (excl. agencies)","220","210","41850","37100"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs (excl. agencies)","60","50","41520","36970"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Department for Work and Pensions (excl. agencies)","2290","2030","26060","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Driver and Vehicle Standards Agency","410","390","33490","31040"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Education and Skills Funding Agency","60","60","42010","37100"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Health and Safety Executive","400","360","42350","39390"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HM Courts and Tribunals Service","410","360","23340","19830"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HM Land Registry","560","510","31980","27130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HM Prison and Probation Service","2370","2210","28840","26850"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HM Revenue and Customs (excl. agencies)","3320","3130","32690","31810"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Insolvency Service","70","70","31350","28130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Legal Aid Agency","180","160","23090","19970"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Ministry of Defence (excl. agencies)","220","220","28200","24900"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Ministry of Justice (excl. agencies)","90","90","40690","38180"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","National Crime Agency","70","60","37210","36410"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Office for Standards in Education, Children's Services and Skills","170","160","44560","39850"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Office of the Public Guardian","420","390","21360","20280"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Public Health England","170","160","43750","36330"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Rural Payments Agency","60","60","25370","25100"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Valuation Office Agency","160","140","33770","31100"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Crown Prosecution Service","160","140","39390","38470"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Department for Work and Pensions (excl. agencies)","1640","1460","25540","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Driver and Vehicle Standards Agency","100","90","28060","26780"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HM Courts and Tribunals Service","870","770","21680","19830"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HM Land Registry","310","290","29170","27130"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HM Prison and Probation Service","1820","1720","29230","27150"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HM Revenue and Customs (excl. agencies)","440","380","26470","21440"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Home Office (incl. agencies)","210","190","28170","26160"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Ministry of Defence (excl. agencies)","440","420","28550","22500"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Ministry of Justice (excl. agencies)","60","60","30850","24000"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","National Crime Agency","80","80","36460","37590"
