"Status","Year","Region_ITL3","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Scotland","110","90","31560","22820"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Scotland","670","640","40860","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Scotland","90","90","30750","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Scotland","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Scotland","870","810","33340","29190"
"In post","2021","Angus and Dundee City","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Scotland","100","90","33520","29350"
"In post","2021","Angus and Dundee City","No function","Scotland","360","330","23720","21440"
"In post","2021","Angus and Dundee City","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Scotland","1430","1320","26300","22230"
"In post","2021","Antrim and Newtownabbey","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Northern Ireland","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Northern Ireland","90","80","25450","21670"
"In post","2021","Ards and North Down","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Northern Ireland","100","100","21150","20310"
"In post","2021","Ards and North Down","Unknown","Northern Ireland","60","60","26460","22330"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","London","130","120","27800","26150"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","London","[c]","[c]","[c]","[c]"
