"Status","Year","Region_ITL2","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cornwall and Isles of Scilly","20-29","South West (England)","120","120","23510","21010"
"In post","2021","Cornwall and Isles of Scilly","30-39","South West (England)","240","220","25820","25100"
"In post","2021","Cornwall and Isles of Scilly","40-49","South West (England)","370","340","27920","27570"
"In post","2021","Cornwall and Isles of Scilly","50-59","South West (England)","650","600","26910","26670"
"In post","2021","Cornwall and Isles of Scilly","60-64","South West (England)","210","180","26290","26430"
"In post","2021","Cornwall and Isles of Scilly","65+","South West (England)","60","40","25240","22080"
"In post","2021","Cumbria","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","20-29","North West (England)","220","220","23770","21050"
"In post","2021","Cumbria","30-39","North West (England)","360","320","27470","25100"
"In post","2021","Cumbria","40-49","North West (England)","640","570","28570","25790"
"In post","2021","Cumbria","50-59","North West (England)","690","640","29260","26270"
"In post","2021","Cumbria","60-64","North West (England)","180","150","27170","23410"
"In post","2021","Cumbria","65+","North West (England)","50","40","28750","26670"
"In post","2021","Derbyshire and Nottinghamshire","16-19","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","20-29","East Midlands (England)","1860","1820","25940","25560"
"In post","2021","Derbyshire and Nottinghamshire","30-39","East Midlands (England)","2470","2310","29940","27570"
"In post","2021","Derbyshire and Nottinghamshire","40-49","East Midlands (England)","2920","2710","32760","28430"
"In post","2021","Derbyshire and Nottinghamshire","50-59","East Midlands (England)","3880","3610","33020","27570"
"In post","2021","Derbyshire and Nottinghamshire","60-64","East Midlands (England)","890","710","30120","27570"
"In post","2021","Derbyshire and Nottinghamshire","65+","East Midlands (England)","240","170","30070","26780"
"In post","2021","Devon","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","20-29","South West (England)","1040","1020","25870","24890"
"In post","2021","Devon","30-39","South West (England)","1800","1680","31030","27570"
"In post","2021","Devon","40-49","South West (England)","2220","2050","33680","30450"
"In post","2021","Devon","50-59","South West (England)","2870","2670","32620","27570"
"In post","2021","Devon","60-64","South West (England)","820","680","28740","26460"
"In post","2021","Devon","65+","South West (England)","240","170","28280","25780"
"In post","2021","Devon","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","20-29","South West (England)","550","540","25300","24920"
"In post","2021","Dorset and Somerset","30-39","South West (England)","860","810","29070","27570"
"In post","2021","Dorset and Somerset","40-49","South West (England)","1140","1070","31230","27570"
"In post","2021","Dorset and Somerset","50-59","South West (England)","1870","1750","30780","27570"
"In post","2021","Dorset and Somerset","60-64","South West (England)","580","490","28500","27570"
"In post","2021","Dorset and Somerset","65+","South West (England)","210","170","28000","27280"
"In post","2021","Dorset and Somerset","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","20-29","East of England","1500","1470","25670","25480"
"In post","2021","East Anglia","30-39","East of England","2300","2150","29620","27570"
"In post","2021","East Anglia","40-49","East of England","2950","2740","31490","27570"
"In post","2021","East Anglia","50-59","East of England","4120","3910","31500","27570"
"In post","2021","East Anglia","60-64","East of England","1170","1010","29320","27080"
"In post","2021","East Anglia","65+","East of England","380","290","28620","26120"
"In post","2021","East Wales","16-19","Wales","70","70","20160","20140"
"In post","2021","East Wales","20-29","Wales","3470","3420","26450","25300"
"In post","2021","East Wales","30-39","Wales","4980","4720","31940","28850"
"In post","2021","East Wales","40-49","Wales","4700","4410","36210","31710"
"In post","2021","East Wales","50-59","Wales","5280","4960","34250","28850"
"In post","2021","East Wales","60-64","Wales","1430","1150","31750","27570"
"In post","2021","East Wales","65+","Wales","460","330","31770","27160"
"In post","2021","East Wales","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","20-29","Yorkshire and The Humber","640","630","24100","24000"
"In post","2021","East Yorkshire and Northern Lincolnshire","30-39","Yorkshire and The Humber","820","750","27300","26530"
"In post","2021","East Yorkshire and Northern Lincolnshire","40-49","Yorkshire and The Humber","990","920","28620","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","50-59","Yorkshire and The Humber","1700","1570","28960","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","60-64","Yorkshire and The Humber","460","370","28800","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","65+","Yorkshire and The Humber","90","70","26640","26930"
"In post","2021","Eastern Scotland","16-19","Scotland","90","90","21110","20930"
"In post","2021","Eastern Scotland","20-29","Scotland","2960","2910","26860","25870"
"In post","2021","Eastern Scotland","30-39","Scotland","4480","4280","34000","30930"
"In post","2021","Eastern Scotland","40-49","Scotland","4710","4430","37440","31990"
"In post","2021","Eastern Scotland","50-59","Scotland","5660","5370","36520","31870"
"In post","2021","Eastern Scotland","60-64","Scotland","1510","1230","33140","27570"
"In post","2021","Eastern Scotland","65+","Scotland","420","330","32410","27570"
"In post","2021","Eastern Scotland","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Essex","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Essex","20-29","East of England","670","660","26630","25560"
"In post","2021","Essex","30-39","East of England","860","800","29750","29290"
"In post","2021","Essex","40-49","East of England","1320","1220","31370","29290"
"In post","2021","Essex","50-59","East of England","2020","1870","32660","29290"
"In post","2021","Essex","60-64","East of England","530","440","30440","29050"
"In post","2021","Essex","65+","East of England","180","130","27810","26780"
"In post","2021","Essex","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","South West (England)","150","150","18720","17780"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","South West (England)","5340","5270","27730","27540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","South West (England)","6600","6270","35650","33300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","South West (England)","6630","6280","39870","37390"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","South West (England)","7860","7560","40140","37180"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","South West (England)","2040","1760","37800","33840"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","South West (England)","680","540","37170","33000"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","North West (England)","50","40","[c]","[c]"
"In post","2021","Greater Manchester","20-29","North West (England)","3280","3230","26820","25560"
"In post","2021","Greater Manchester","30-39","North West (England)","4390","4210","31050","27570"
"In post","2021","Greater Manchester","40-49","North West (England)","4560","4300","32990","27570"
"In post","2021","Greater Manchester","50-59","North West (England)","5740","5390","32120","27570"
"In post","2021","Greater Manchester","60-64","North West (England)","1340","1060","29720","27570"
"In post","2021","Greater Manchester","65+","North West (England)","370","270","28580","26670"
"In post","2021","Greater Manchester","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","South East (England)","1930","1890","27460","26970"
"In post","2021","Hampshire and Isle of Wight","30-39","South East (England)","2650","2500","32970","30790"
"In post","2021","Hampshire and Isle of Wight","40-49","South East (England)","3220","3000","34840","31810"
"In post","2021","Hampshire and Isle of Wight","50-59","South East (England)","5150","4780","32830","28130"
"In post","2021","Hampshire and Isle of Wight","60-64","South East (England)","1680","1430","30420","27570"
"In post","2021","Hampshire and Isle of Wight","65+","South East (England)","700","540","28450","23050"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","West Midlands (England)","540","530","23670","22920"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","West Midlands (England)","720","680","27060","25790"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","West Midlands (England)","910","850","30100","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","West Midlands (England)","1360","1280","29480","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","West Midlands (England)","330","280","26500","25190"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","West Midlands (England)","120","100","25630","24560"
"In post","2021","Highlands and Islands","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Scotland","190","190","24720","23130"
"In post","2021","Highlands and Islands","30-39","Scotland","330","310","28720","27570"
"In post","2021","Highlands and Islands","40-49","Scotland","450","430","30220","27570"
"In post","2021","Highlands and Islands","50-59","Scotland","710","670","29630","27570"
"In post","2021","Highlands and Islands","60-64","Scotland","220","190","27650","27570"
"In post","2021","Highlands and Islands","65+","Scotland","50","40","26650","26530"
"In post","2021","Inner London - East","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","20-29","London","3040","3010","33420","31060"
"In post","2021","Inner London - East","30-39","London","4030","3880","43060","38650"
"In post","2021","Inner London - East","40-49","London","4000","3770","45980","40450"
"In post","2021","Inner London - East","50-59","London","4530","4350","43770","36340"
"In post","2021","Inner London - East","60-64","London","1100","970","42050","35310"
"In post","2021","Inner London - East","65+","London","470","380","39900","31880"
"In post","2021","Inner London - West","16-19","London","100","100","25670","25170"
"In post","2021","Inner London - West","20-29","London","16490","16420","37380","34260"
"In post","2021","Inner London - West","30-39","London","15850","15450","49440","51970"
"In post","2021","Inner London - West","40-49","London","12950","12370","53850","53760"
"In post","2021","Inner London - West","50-59","London","12280","11980","50310","44030"
"In post","2021","Inner London - West","60-64","London","2600","2400","46230","39800"
"In post","2021","Inner London - West","65+","London","860","750","42830","35870"
"In post","2021","Inner London - West","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Kent","16-19","South East (England)","40","40","[c]","[c]"
"In post","2021","Kent","20-29","South East (England)","1210","1200","26790","26420"
"In post","2021","Kent","30-39","South East (England)","1650","1560","29020","29290"
"In post","2021","Kent","40-49","South East (England)","2010","1900","30430","29290"
"In post","2021","Kent","50-59","South East (England)","2720","2540","31060","29290"
"In post","2021","Kent","60-64","South East (England)","690","570","28980","27370"
"In post","2021","Kent","65+","South East (England)","200","150","28390","26850"
"In post","2021","Lancashire","16-19","North West (England)","40","40","[c]","[c]"
"In post","2021","Lancashire","20-29","North West (England)","1560","1520","24090","22850"
"In post","2021","Lancashire","30-39","North West (England)","2300","2130","26740","26670"
"In post","2021","Lancashire","40-49","North West (England)","3820","3490","29200","27570"
"In post","2021","Lancashire","50-59","North West (England)","4900","4490","29840","27570"
"In post","2021","Lancashire","60-64","North West (England)","1160","900","27820","26580"
"In post","2021","Lancashire","65+","North West (England)","350","250","26430","22350"
"In post","2021","Lancashire","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","20-29","East Midlands (England)","870","850","23930","22920"
"In post","2021","Leicestershire, Rutland and Northamptonshire","30-39","East Midlands (England)","1320","1220","27110","26220"
"In post","2021","Leicestershire, Rutland and Northamptonshire","40-49","East Midlands (England)","1480","1350","28930","27380"
"In post","2021","Leicestershire, Rutland and Northamptonshire","50-59","East Midlands (England)","1890","1740","28510","27380"
"In post","2021","Leicestershire, Rutland and Northamptonshire","60-64","East Midlands (England)","540","450","26320","24380"
"In post","2021","Leicestershire, Rutland and Northamptonshire","65+","East Midlands (England)","130","90","26140","21710"
"In post","2021","Lincolnshire","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","20-29","East Midlands (England)","280","280","25570","26300"
"In post","2021","Lincolnshire","30-39","East Midlands (England)","450","430","27710","26670"
"In post","2021","Lincolnshire","40-49","East Midlands (England)","580","550","28950","27380"
"In post","2021","Lincolnshire","50-59","East Midlands (England)","1080","1030","28930","27570"
"In post","2021","Lincolnshire","60-64","East Midlands (England)","340","300","27520","25610"
"In post","2021","Lincolnshire","65+","East Midlands (England)","100","80","25830","22080"
"In post","2021","Merseyside","16-19","North West (England)","50","50","20650","20140"
"In post","2021","Merseyside","20-29","North West (England)","2660","2580","24690","24880"
"In post","2021","Merseyside","30-39","North West (England)","4180","3910","28280","25560"
"In post","2021","Merseyside","40-49","North West (England)","4670","4320","30190","27370"
"In post","2021","Merseyside","50-59","North West (England)","5700","5210","30290","27130"
"In post","2021","Merseyside","60-64","North West (England)","1710","1330","27340","25260"
"In post","2021","Merseyside","65+","North West (England)","510","370","26110","21440"
"In post","2021","Merseyside","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","North Eastern Scotland","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","North Eastern Scotland","20-29","Scotland","230","220","27170","26570"
"In post","2021","North Eastern Scotland","30-39","Scotland","420","400","33380","30650"
"In post","2021","North Eastern Scotland","40-49","Scotland","440","430","40490","33650"
"In post","2021","North Eastern Scotland","50-59","Scotland","580","550","38660","32700"
"In post","2021","North Eastern Scotland","60-64","Scotland","150","120","35710","27570"
"In post","2021","North Eastern Scotland","65+","Scotland","40","30","[c]","[c]"
"In post","2021","North Yorkshire","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","North Yorkshire","20-29","Yorkshire and The Humber","530","530","26120","25790"
"In post","2021","North Yorkshire","30-39","Yorkshire and The Humber","790","740","32800","30350"
"In post","2021","North Yorkshire","40-49","Yorkshire and The Humber","1150","1100","36510","32370"
"In post","2021","North Yorkshire","50-59","Yorkshire and The Humber","1660","1590","35000","30620"
"In post","2021","North Yorkshire","60-64","Yorkshire and The Humber","460","400","31730","26750"
"In post","2021","North Yorkshire","65+","Yorkshire and The Humber","130","100","28920","25400"
"In post","2021","North Yorkshire","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Northern Ireland","420","410","23340","20310"
"In post","2021","Northern Ireland","30-39","Northern Ireland","830","790","28130","25560"
"In post","2021","Northern Ireland","40-49","Northern Ireland","990","940","28070","25560"
"In post","2021","Northern Ireland","50-59","Northern Ireland","1210","1150","29740","26660"
"In post","2021","Northern Ireland","60-64","Northern Ireland","260","220","26880","22330"
"In post","2021","Northern Ireland","65+","Northern Ireland","90","70","26780","21430"
"In post","2021","Northern Ireland","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Northumberland and Tyne and Wear","16-19","North East (England)","80","80","20990","20140"
"In post","2021","Northumberland and Tyne and Wear","20-29","North East (England)","2690","2630","25300","25270"
"In post","2021","Northumberland and Tyne and Wear","30-39","North East (England)","4420","4110","28530","25560"
"In post","2021","Northumberland and Tyne and Wear","40-49","North East (England)","5340","4880","30050","27370"
"In post","2021","Northumberland and Tyne and Wear","50-59","North East (England)","6280","5540","29110","25560"
"In post","2021","Northumberland and Tyne and Wear","60-64","North East (England)","2080","1550","25980","21440"
"In post","2021","Northumberland and Tyne and Wear","65+","North East (England)","480","330","24200","21440"
"In post","2021","Northumberland and Tyne and Wear","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Outer London - East and North East","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Outer London - East and North East","20-29","London","680","670","29280","31060"
"In post","2021","Outer London - East and North East","30-39","London","720","690","31110","31060"
"In post","2021","Outer London - East and North East","40-49","London","760","710","30960","31060"
"In post","2021","Outer London - East and North East","50-59","London","1180","1110","31320","31060"
"In post","2021","Outer London - East and North East","60-64","London","300","240","30280","30780"
"In post","2021","Outer London - East and North East","65+","London","130","100","28540","25110"
"In post","2021","Outer London - East and North East","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Outer London - South","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Outer London - South","20-29","London","1400","1390","32130","29570"
"In post","2021","Outer London - South","30-39","London","1950","1860","37970","35070"
"In post","2021","Outer London - South","40-49","London","2540","2410","40180","35310"
"In post","2021","Outer London - South","50-59","London","3600","3450","38680","35050"
"In post","2021","Outer London - South","60-64","London","860","760","35630","31060"
"In post","2021","Outer London - South","65+","London","380","310","31060","28840"
"In post","2021","Outer London - West and North West","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Outer London - West and North West","20-29","London","1390","1370","29670","29250"
"In post","2021","Outer London - West and North West","30-39","London","1760","1690","32760","31060"
"In post","2021","Outer London - West and North West","40-49","London","2050","1920","34970","31060"
"In post","2021","Outer London - West and North West","50-59","London","2640","2460","34520","31060"
"In post","2021","Outer London - West and North West","60-64","London","840","690","33200","30680"
"In post","2021","Outer London - West and North West","65+","London","370","280","31500","28870"
"In post","2021","Overseas","20-29","Overseas","310","310","37350","34220"
"In post","2021","Overseas","30-39","Overseas","1060","1060","47130","50940"
"In post","2021","Overseas","40-49","Overseas","1180","1170","52150","54030"
"In post","2021","Overseas","50-59","Overseas","990","980","53290","52400"
"In post","2021","Overseas","60-64","Overseas","190","190","56220","54540"
"In post","2021","Overseas","65+","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire and Staffordshire","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire and Staffordshire","20-29","West Midlands (England)","1120","1100","24980","24910"
"In post","2021","Shropshire and Staffordshire","30-39","West Midlands (England)","1500","1420","29040","27380"
"In post","2021","Shropshire and Staffordshire","40-49","West Midlands (England)","1820","1710","31590","27570"
"In post","2021","Shropshire and Staffordshire","50-59","West Midlands (England)","2840","2670","31500","27570"
"In post","2021","Shropshire and Staffordshire","60-64","West Midlands (England)","800","660","29100","27570"
"In post","2021","Shropshire and Staffordshire","65+","West Midlands (England)","210","160","28480","26670"
"In post","2021","South Yorkshire","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","South Yorkshire","20-29","Yorkshire and The Humber","1410","1390","26840","25000"
"In post","2021","South Yorkshire","30-39","Yorkshire and The Humber","2240","2070","31210","27570"
"In post","2021","South Yorkshire","40-49","Yorkshire and The Humber","2420","2210","34050","29730"
"In post","2021","South Yorkshire","50-59","Yorkshire and The Humber","2970","2730","32550","27570"
"In post","2021","South Yorkshire","60-64","Yorkshire and The Humber","690","530","28190","26780"
"In post","2021","South Yorkshire","65+","Yorkshire and The Humber","180","120","27530","25400"
"In post","2021","South Yorkshire","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Southern Scotland","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Southern Scotland","20-29","Scotland","710","690","25620","24110"
"In post","2021","Southern Scotland","30-39","Scotland","1260","1180","30050","27150"
"In post","2021","Southern Scotland","40-49","Scotland","1300","1200","31520","27570"
"In post","2021","Southern Scotland","50-59","Scotland","1920","1730","30170","27570"
"In post","2021","Southern Scotland","60-64","Scotland","650","490","27290","26120"
"In post","2021","Southern Scotland","65+","Scotland","160","110","25450","24110"
"In post","2021","Surrey, East and West Sussex","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Surrey, East and West Sussex","20-29","South East (England)","1110","1090","26960","27570"
"In post","2021","Surrey, East and West Sussex","30-39","South East (England)","1400","1300","30020","27960"
"In post","2021","Surrey, East and West Sussex","40-49","South East (England)","1890","1740","32390","28350"
"In post","2021","Surrey, East and West Sussex","50-59","South East (England)","2720","2510","31650","28130"
"In post","2021","Surrey, East and West Sussex","60-64","South East (England)","860","710","29280","27570"
"In post","2021","Surrey, East and West Sussex","65+","South East (England)","310","230","28530","26580"
"In post","2021","Surrey, East and West Sussex","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Tees Valley and Durham","16-19","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Tees Valley and Durham","20-29","North East (England)","1240","1210","24150","22850"
"In post","2021","Tees Valley and Durham","30-39","North East (England)","1790","1660","27150","25560"
"In post","2021","Tees Valley and Durham","40-49","North East (England)","2140","1970","29070","27190"
"In post","2021","Tees Valley and Durham","50-59","North East (England)","3060","2780","29520","27570"
"In post","2021","Tees Valley and Durham","60-64","North East (England)","780","580","26790","25310"
"In post","2021","Tees Valley and Durham","65+","North East (England)","210","150","25570","21980"
"In post","2021","Tees Valley and Durham","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","20-29","Unknown","890","890","29890","29250"
"In post","2021","Unknown","30-39","Unknown","780","770","36640","32700"
"In post","2021","Unknown","40-49","Unknown","730","710","37770","33130"
"In post","2021","Unknown","50-59","Unknown","980","960","39020","33570"
"In post","2021","Unknown","60-64","Unknown","260","240","37350","33570"
"In post","2021","Unknown","65+","Unknown","50","40","32230","30630"
"In post","2021","West Central Scotland","16-19","Scotland","50","50","20610","20140"
"In post","2021","West Central Scotland","20-29","Scotland","2430","2370","25660","24610"
"In post","2021","West Central Scotland","30-39","Scotland","3840","3660","30750","27570"
"In post","2021","West Central Scotland","40-49","Scotland","3840","3620","32950","27570"
"In post","2021","West Central Scotland","50-59","Scotland","5840","5400","31780","27570"
"In post","2021","West Central Scotland","60-64","Scotland","1510","1170","29290","26120"
"In post","2021","West Central Scotland","65+","Scotland","400","290","27310","22230"
"In post","2021","West Central Scotland","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands","16-19","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","West Midlands","20-29","West Midlands (England)","2630","2590","25930","25000"
"In post","2021","West Midlands","30-39","West Midlands (England)","4090","3840","29940","27570"
"In post","2021","West Midlands","40-49","West Midlands (England)","4470","4110","33210","27570"
"In post","2021","West Midlands","50-59","West Midlands (England)","5250","4850","32220","27570"
"In post","2021","West Midlands","60-64","West Midlands (England)","1370","1120","30270","27570"
"In post","2021","West Midlands","65+","West Midlands (England)","350","260","29090","26780"
"In post","2021","West Midlands","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","West Wales and The Valleys","16-19","Wales","60","50","20480","21010"
"In post","2021","West Wales and The Valleys","20-29","Wales","1780","1710","23780","21590"
"In post","2021","West Wales and The Valleys","30-39","Wales","3680","3370","27080","25390"
"In post","2021","West Wales and The Valleys","40-49","Wales","3960","3670","30460","27130"
"In post","2021","West Wales and The Valleys","50-59","Wales","4430","4050","30660","27370"
"In post","2021","West Wales and The Valleys","60-64","Wales","1410","1060","28420","23830"
"In post","2021","West Wales and The Valleys","65+","Wales","390","280","27140","22350"
"In post","2021","West Yorkshire","16-19","Yorkshire and The Humber","70","60","20970","20140"
"In post","2021","West Yorkshire","20-29","Yorkshire and The Humber","3220","3170","26350","25560"
"In post","2021","West Yorkshire","30-39","Yorkshire and The Humber","3650","3420","30910","27570"
"In post","2021","West Yorkshire","40-49","Yorkshire and The Humber","4060","3760","33730","30120"
"In post","2021","West Yorkshire","50-59","Yorkshire and The Humber","4770","4430","33840","28430"
"In post","2021","West Yorkshire","60-64","Yorkshire and The Humber","1180","900","30040","27570"
"In post","2021","West Yorkshire","65+","Yorkshire and The Humber","310","220","28950","27570"
"In post","2022","Bedfordshire and Hertfordshire","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","20-29","East of England","700","690","28410","28140"
"In post","2022","Bedfordshire and Hertfordshire","30-39","East of England","910","870","33380","30450"
"In post","2022","Bedfordshire and Hertfordshire","40-49","East of England","1060","990","35440","30740"
"In post","2022","Bedfordshire and Hertfordshire","50-59","East of England","1430","1350","35010","30700"
"In post","2022","Bedfordshire and Hertfordshire","60-64","East of England","440","390","32960","29290"
"In post","2022","Bedfordshire and Hertfordshire","65+","East of England","150","120","33670","29290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","16-19","South East (England)","40","40","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","20-29","South East (England)","1470","1450","27700","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","30-39","South East (England)","1890","1810","33020","30700"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","40-49","South East (England)","2050","1950","35570","32640"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","50-59","South East (England)","2820","2700","35770","33000"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","60-64","South East (England)","890","780","33570","29290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","65+","South East (England)","380","310","33060","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","20-29","North West (England)","680","670","27030","26350"
"In post","2022","Cheshire","30-39","North West (England)","970","930","31840","30640"
"In post","2022","Cheshire","40-49","North West (England)","980","930","34310","31650"
"In post","2022","Cheshire","50-59","North West (England)","1320","1240","33450","30640"
"In post","2022","Cheshire","60-64","North West (England)","340","280","30450","27570"
"In post","2022","Cheshire","65+","North West (England)","90","70","30120","27570"
"In post","2022","Cornwall and Isles of Scilly","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","20-29","South West (England)","140","140","24020","21260"
