"Status","Year","Function_of_post","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Economics","60","60","46070","41250"
"In post","2021","Analysis","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Operational Delivery","50","50","30860","30180"
"In post","2021","Analysis","Declared disabled","Operational Research","80","80","42430","37590"
"In post","2021","Analysis","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Policy","30","30","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Social Research","90","80","40500","37700"
"In post","2021","Analysis","Declared disabled","Statistics","160","150","42740","38630"
"In post","2021","Analysis","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Digital, Data and Technology","180","180","42350","42220"
"In post","2021","Analysis","Declared non-disabled","Economics","830","810","49140","49100"
"In post","2021","Analysis","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Intelligence Analysis","90","90","49540","49760"
"In post","2021","Analysis","Declared non-disabled","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Operational Delivery","360","340","32780","30130"
"In post","2021","Analysis","Declared non-disabled","Operational Research","430","420","44580","42280"
"In post","2021","Analysis","Declared non-disabled","Other","160","150","68060","60510"
"In post","2021","Analysis","Declared non-disabled","Policy","230","220","48500","46170"
"In post","2021","Analysis","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Science and Engineering","420","400","34810","30220"
"In post","2021","Analysis","Declared non-disabled","Social Research","490","470","44400","40720"
"In post","2021","Analysis","Declared non-disabled","Statistics","1170","1130","44450","40580"
"In post","2021","Analysis","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Unknown","60","60","45410","41850"
