"Status","Year","Region_ITL1","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Female","70","60","40050","39040"
"In post","2021","East Midlands (England)","Commercial","Male","70","60","45880","46870"
"In post","2021","East Midlands (England)","Communications","Female","70","70","36170","33960"
"In post","2021","East Midlands (England)","Communications","Male","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Female","110","100","36210","32180"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Male","180","170","36300","32300"
"In post","2021","East Midlands (England)","Finance","Female","120","110","33760","30370"
"In post","2021","East Midlands (England)","Finance","Male","80","80","38080","33300"
"In post","2021","East Midlands (England)","Human Resources","Female","260","250","37800","33840"
"In post","2021","East Midlands (England)","Human Resources","Male","110","100","37720","33350"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Female","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Female","60","50","28190","26850"
"In post","2021","East Midlands (England)","Intelligence Analysis","Male","70","70","30960","31810"
"In post","2021","East Midlands (England)","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Female","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Male","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Female","270","240","43150","45700"
"In post","2021","East Midlands (England)","Legal","Male","240","230","41520","38630"
"In post","2021","East Midlands (England)","Medicine","Female","140","130","42730","37890"
"In post","2021","East Midlands (England)","Medicine","Male","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Female","5540","4960","26420","23910"
"In post","2021","East Midlands (England)","Operational Delivery","Male","4560","4380","28280","26630"
"In post","2021","East Midlands (England)","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Female","480","450","23470","21130"
"In post","2021","East Midlands (England)","Other","Male","360","360","27660","20970"
"In post","2021","East Midlands (England)","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Female","170","150","40170","36780"
"In post","2021","East Midlands (England)","Policy","Male","80","80","43510","38700"
"In post","2021","East Midlands (England)","Project Delivery","Female","200","190","37970","34120"
"In post","2021","East Midlands (England)","Project Delivery","Male","170","160","40630","38930"
"In post","2021","East Midlands (England)","Property","Female","230","210","31760","28660"
"In post","2021","East Midlands (England)","Property","Male","250","240","35620","33300"
"In post","2021","East Midlands (England)","Psychology","Female","150","150","34650","30450"
"In post","2021","East Midlands (England)","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Female","170","160","39160","37890"
"In post","2021","East Midlands (England)","Science and Engineering","Male","370","350","39750","37310"
"In post","2021","East Midlands (England)","Security","Female","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Male","120","120","29760","26750"
"In post","2021","East Midlands (England)","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Female","620","570","32560","31810"
"In post","2021","East Midlands (England)","Tax","Male","760","740","33230","31810"
"In post","2021","East Midlands (England)","Unknown","Female","3180","2730","26190","27570"
"In post","2021","East Midlands (England)","Unknown","Male","1690","1610","26900","27570"
"In post","2021","East Midlands (England)","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Female","140","130","36900","35630"
"In post","2021","East of England","Commercial","Male","110","110","41660","37320"
"In post","2021","East of England","Communications","Female","50","40","[c]","[c]"
"In post","2021","East of England","Communications","Male","50","40","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Female","160","140","35850","33000"
