"Status","Year","Ethnicity","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","20-29","40","40","[c]","[c]"
"In post","2021","Asian","Commercial","30-39","60","50","37100","36500"
"In post","2021","Asian","Commercial","40-49","80","80","41960","38940"
"In post","2021","Asian","Commercial","50-59","50","50","[c]","[c]"
"In post","2021","Asian","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","20-29","50","50","[c]","[c]"
"In post","2021","Asian","Communications","30-39","60","60","39860","37340"
"In post","2021","Asian","Communications","40-49","50","50","44640","40230"
"In post","2021","Asian","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","20-29","160","150","33320","31810"
"In post","2021","Asian","Digital, Data and Technology","30-39","290","290","42540","39390"
"In post","2021","Asian","Digital, Data and Technology","40-49","270","260","46820","44430"
"In post","2021","Asian","Digital, Data and Technology","50-59","120","120","44090","40670"
"In post","2021","Asian","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","20-29","100","100","36170","32970"
"In post","2021","Asian","Economics","30-39","40","40","[c]","[c]"
"In post","2021","Asian","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","20-29","120","120","32360","30750"
"In post","2021","Asian","Finance","30-39","190","190","40650","38030"
"In post","2021","Asian","Finance","40-49","220","220","42330","38630"
"In post","2021","Asian","Finance","50-59","140","140","41860","37650"
"In post","2021","Asian","Finance","60-64","50","40","[c]","[c]"
"In post","2021","Asian","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","20-29","80","70","31430","29360"
"In post","2021","Asian","Human Resources","30-39","120","120","35640","33450"
"In post","2021","Asian","Human Resources","40-49","110","110","41640","38540"
"In post","2021","Asian","Human Resources","50-59","80","70","39050","35060"
"In post","2021","Asian","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","30-39","60","60","33740","30810"
"In post","2021","Asian","Intelligence Analysis","40-49","70","70","33800","29250"
"In post","2021","Asian","Intelligence Analysis","50-59","30","30","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","20-29","40","40","[c]","[c]"
"In post","2021","Asian","International Trade","30-39","30","30","[c]","[c]"
"In post","2021","Asian","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
