"Status","Year","Region_ITL1","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Heterosexual / straight","Declared disabled","1990","1820","28500","27570"
"In post","2021","East Midlands (England)","Heterosexual / straight","Declared non-disabled","11000","10230","30250","27570"
"In post","2021","East Midlands (England)","Heterosexual / straight","Undeclared","640","590","28600","27570"
"In post","2021","East Midlands (England)","Heterosexual / straight","Unknown","510","480","30840","26930"
"In post","2021","East Midlands (England)","LGBO","Declared disabled","190","180","29060","27570"
"In post","2021","East Midlands (England)","LGBO","Declared non-disabled","510","490","29790","27380"
"In post","2021","East Midlands (England)","LGBO","Undeclared","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Declared disabled","320","290","28720","27570"
"In post","2021","East Midlands (England)","Undeclared","Declared non-disabled","1060","950","30090","27570"
"In post","2021","East Midlands (England)","Undeclared","Undeclared","560","520","30620","28220"
"In post","2021","East Midlands (England)","Undeclared","Unknown","80","70","31940","29050"
"In post","2021","East Midlands (England)","Unknown","Declared disabled","170","150","26830","27380"
"In post","2021","East Midlands (England)","Unknown","Declared non-disabled","1690","1480","29090","27570"
"In post","2021","East Midlands (England)","Unknown","Undeclared","250","220","29640","30550"
"In post","2021","East Midlands (England)","Unknown","Unknown","2310","2190","27230","25560"
"In post","2021","East of England","Heterosexual / straight","Declared disabled","1980","1810","30040","27570"
"In post","2021","East of England","Heterosexual / straight","Declared non-disabled","12220","11390","30740","27850"
"In post","2021","East of England","Heterosexual / straight","Undeclared","730","690","31100","29290"
"In post","2021","East of England","Heterosexual / straight","Unknown","700","670","34090","32000"
"In post","2021","East of England","LGBO","Declared disabled","170","160","28370","27570"
"In post","2021","East of England","LGBO","Declared non-disabled","500","480","29730","27570"
"In post","2021","East of England","LGBO","Undeclared","50","50","[c]","[c]"
"In post","2021","East of England","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Declared disabled","260","240","30700","28380"
"In post","2021","East of England","Undeclared","Declared non-disabled","1160","1060","30320","27570"
"In post","2021","East of England","Undeclared","Undeclared","650","610","31750","29870"
"In post","2021","East of England","Undeclared","Unknown","120","110","36590","34560"
"In post","2021","East of England","Unknown","Declared disabled","170","150","28390","27570"
"In post","2021","East of England","Unknown","Declared non-disabled","1630","1430","30300","28130"
"In post","2021","East of England","Unknown","Undeclared","300","260","31190","31650"
"In post","2021","East of England","Unknown","Unknown","1930","1830","30950","27570"
"In post","2021","London","Heterosexual / straight","Declared disabled","6630","6300","40630","35070"
"In post","2021","London","Heterosexual / straight","Declared non-disabled","53280","51230","43940","37900"
"In post","2021","London","Heterosexual / straight","Undeclared","2280","2200","41190","35770"
"In post","2021","London","Heterosexual / straight","Unknown","4110","4000","43970","40000"
"In post","2021","London","LGBO","Declared disabled","970","950","42440","36650"
"In post","2021","London","LGBO","Declared non-disabled","3540","3480","45780","40600"
"In post","2021","London","LGBO","Undeclared","240","240","42910","36160"
"In post","2021","London","LGBO","Unknown","350","340","43440","39920"
"In post","2021","London","Undeclared","Declared disabled","990","930","39220","33950"
"In post","2021","London","Undeclared","Declared non-disabled","5140","4880","42780","36800"
"In post","2021","London","Undeclared","Undeclared","2270","2180","44020","38860"
"In post","2021","London","Undeclared","Unknown","640","620","45740","41760"
"In post","2021","London","Unknown","Declared disabled","610","560","38460","31970"
"In post","2021","London","Unknown","Declared non-disabled","5330","4920","41500","34770"
"In post","2021","London","Unknown","Undeclared","1300","1240","40630","35870"
"In post","2021","London","Unknown","Unknown","14250","13920","43480","36240"
"In post","2021","North East (England)","Heterosexual / straight","Declared disabled","2620","2310","27160","25560"
"In post","2021","North East (England)","Heterosexual / straight","Declared non-disabled","15440","14000","29100","26520"
"In post","2021","North East (England)","Heterosexual / straight","Undeclared","750","680","28720","27570"
"In post","2021","North East (England)","Heterosexual / straight","Unknown","820","740","28400","25560"
"In post","2021","North East (England)","LGBO","Declared disabled","190","180","27130","25560"
"In post","2021","North East (England)","LGBO","Declared non-disabled","700","670","28720","26300"
"In post","2021","North East (England)","LGBO","Undeclared","60","60","27070","27570"
"In post","2021","North East (England)","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","North East (England)","Undeclared","Declared disabled","280","240","26960","23840"
"In post","2021","North East (England)","Undeclared","Declared non-disabled","1170","1040","28270","25650"
"In post","2021","North East (England)","Undeclared","Undeclared","590","550","30160","27460"
"In post","2021","North East (England)","Undeclared","Unknown","120","100","29630","23290"
"In post","2021","North East (England)","Unknown","Declared disabled","320","270","25380","21440"
"In post","2021","North East (England)","Unknown","Declared non-disabled","3020","2550","27010","23510"
"In post","2021","North East (England)","Unknown","Undeclared","360","310","29350","31650"
"In post","2021","North East (England)","Unknown","Unknown","4130","3760","25910","21440"
"In post","2021","North West (England)","Heterosexual / straight","Declared disabled","5210","4690","28500","27570"
"In post","2021","North West (England)","Heterosexual / straight","Declared non-disabled","30370","28200","30110","27570"
"In post","2021","North West (England)","Heterosexual / straight","Undeclared","1430","1320","28900","27570"
"In post","2021","North West (England)","Heterosexual / straight","Unknown","1960","1880","32680","30640"
"In post","2021","North West (England)","LGBO","Declared disabled","480","450","28410","27570"
"In post","2021","North West (England)","LGBO","Declared non-disabled","1540","1500","29690","27370"
"In post","2021","North West (England)","LGBO","Undeclared","140","140","28670","27570"
"In post","2021","North West (England)","LGBO","Unknown","130","130","31260","28840"
"In post","2021","North West (England)","Undeclared","Declared disabled","690","610","27770","26780"
"In post","2021","North West (England)","Undeclared","Declared non-disabled","2540","2310","29480","27460"
"In post","2021","North West (England)","Undeclared","Undeclared","1180","1100","31250","27570"
"In post","2021","North West (England)","Undeclared","Unknown","210","190","32190","28840"
"In post","2021","North West (England)","Unknown","Declared disabled","630","540","26630","25560"
"In post","2021","North West (England)","Unknown","Declared non-disabled","5820","5070","27650","27570"
"In post","2021","North West (England)","Unknown","Undeclared","700","630","29280","31650"
"In post","2021","North West (England)","Unknown","Unknown","6310","5960","28170","25560"
"In post","2021","Northern Ireland","Heterosexual / straight","Declared disabled","250","240","27290","25560"
"In post","2021","Northern Ireland","Heterosexual / straight","Declared non-disabled","2030","1910","28670","25560"
"In post","2021","Northern Ireland","Heterosexual / straight","Undeclared","120","110","28850","26750"
"In post","2021","Northern Ireland","Heterosexual / straight","Unknown","230","220","29250","25560"
"In post","2021","Northern Ireland","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","LGBO","Declared non-disabled","70","60","26490","25310"
"In post","2021","Northern Ireland","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Declared non-disabled","100","90","27800","24890"
"In post","2021","Northern Ireland","Undeclared","Undeclared","70","70","28650","25560"
"In post","2021","Northern Ireland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Declared non-disabled","130","120","30150","27970"
"In post","2021","Northern Ireland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Unknown","700","660","25500","21440"
"In post","2021","Overseas","Heterosexual / straight","Declared disabled","160","160","48570","45490"
"In post","2021","Overseas","Heterosexual / straight","Declared non-disabled","2100","2090","49620","49810"
"In post","2021","Overseas","Heterosexual / straight","Undeclared","50","50","[c]","[c]"
"In post","2021","Overseas","Heterosexual / straight","Unknown","180","180","55300","54540"
"In post","2021","Overseas","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","LGBO","Declared non-disabled","130","130","52300","52630"
"In post","2021","Overseas","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Undeclared","Declared non-disabled","220","220","47310","40580"
"In post","2021","Overseas","Undeclared","Undeclared","110","100","47430","41960"
"In post","2021","Overseas","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Declared non-disabled","120","110","47060","43630"
"In post","2021","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Unknown","580","580","51670","51500"
"In post","2021","Scotland","Heterosexual / straight","Declared disabled","3140","2840","30410","27570"
"In post","2021","Scotland","Heterosexual / straight","Declared non-disabled","20110","18780","32910","27570"
"In post","2021","Scotland","Heterosexual / straight","Undeclared","660","620","30090","27570"
"In post","2021","Scotland","Heterosexual / straight","Unknown","3860","3630","36660","33650"
"In post","2021","Scotland","LGBO","Declared disabled","400","380","31220","27570"
"In post","2021","Scotland","LGBO","Declared non-disabled","990","960","32370","27570"
"In post","2021","Scotland","LGBO","Undeclared","70","70","30700","27570"
"In post","2021","Scotland","LGBO","Unknown","190","180","35030","33300"
"In post","2021","Scotland","Undeclared","Declared disabled","380","340","29520","27470"
"In post","2021","Scotland","Undeclared","Declared non-disabled","1650","1510","31200","27570"
"In post","2021","Scotland","Undeclared","Undeclared","560","520","32700","27570"
"In post","2021","Scotland","Undeclared","Unknown","1940","1770","29060","26550"
