"Status","Year","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","1700","1530","27030","25560"
"In post","2021","East Midlands (England)","Black","510","480","27140","26310"
"In post","2021","East Midlands (England)","Chinese","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","340","320","29990","27570"
"In post","2021","East Midlands (England)","Other ethnicity","70","60","31780","27570"
"In post","2021","East Midlands (England)","Undeclared","920","850","30190","27570"
"In post","2021","East Midlands (England)","Unknown","2700","2540","27590","25560"
"In post","2021","East Midlands (England)","White","15110","13970","30200","27570"
"In post","2021","East of England","Asian","1130","1020","30360","27570"
"In post","2021","East of England","Black","600","570","30710","29290"
"In post","2021","East of England","Chinese","40","40","[c]","[c]"
"In post","2021","East of England","Mixed","420","400","30630","29040"
"In post","2021","East of England","Other ethnicity","120","120","34220","29290"
"In post","2021","East of England","Undeclared","1080","1010","31410","29200"
"In post","2021","East of England","Unknown","2080","1960","29250","26930"
"In post","2021","East of England","White","17120","15880","30900","28200"
"In post","2021","London","Asian","13560","12800","37040","31880"
"In post","2021","London","Black","9970","9620","34560","31060"
"In post","2021","London","Chinese","600","580","43240","39240"
"In post","2021","London","Mixed","3410","3300","40840","35590"
"In post","2021","London","Other ethnicity","1270","1210","41630","35200"
"In post","2021","London","Undeclared","4660","4440","42060","36650"
"In post","2021","London","Unknown","15570","15200","42860","36160"
"In post","2021","London","White","52900","50840","47090","41950"
"In post","2021","North East (England)","Asian","400","360","27830","24880"
"In post","2021","North East (England)","Black","140","130","27610","25560"
"In post","2021","North East (England)","Chinese","50","50","27900","25560"
"In post","2021","North East (England)","Mixed","220","210","29310","27230"
"In post","2021","North East (England)","Other ethnicity","50","40","[c]","[c]"
"In post","2021","North East (England)","Undeclared","1040","940","29090","26350"
"In post","2021","North East (England)","Unknown","4350","3970","26100","22350"
"In post","2021","North East (England)","White","24360","21790","28510","26000"
"In post","2021","North West (England)","Asian","2570","2370","27670","25560"
"In post","2021","North West (England)","Black","720","690","28560","27370"
"In post","2021","North West (England)","Chinese","150","140","29120","25360"
"In post","2021","North West (England)","Mixed","760","710","29330","26160"
"In post","2021","North West (England)","Other ethnicity","170","160","31370","27570"
"In post","2021","North West (England)","Undeclared","2230","2030","30400","27570"
"In post","2021","North West (England)","Unknown","7260","6840","27960","25560"
"In post","2021","North West (England)","White","45480","41770","29790","27570"
"In post","2021","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","100","90","28160","25560"
"In post","2021","Northern Ireland","Unknown","650","610","25990","21440"
"In post","2021","Northern Ireland","White","3040","2850","28390","25560"
"In post","2021","Overseas","Asian","150","150","46340","41410"
"In post","2021","Overseas","Black","70","70","41950","37500"
"In post","2021","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Mixed","110","110","48540","48210"
"In post","2021","Overseas","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Overseas","Undeclared","200","190","47080","41620"
"In post","2021","Overseas","Unknown","570","560","51740","51500"
"In post","2021","Overseas","White","2620","2610","50320","50430"
"In post","2021","Scotland","Asian","510","470","31930","27570"
"In post","2021","Scotland","Black","230","220","32030","27570"
"In post","2021","Scotland","Chinese","50","50","[c]","[c]"
