"Status","Year","Sex","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","20-29","70","70","26370","24250"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","30-39","130","120","30270","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","40-49","160","150","32990","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","50-59","190","180","33910","34500"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","60-64","50","40","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","20-29","310","310","25200","24920"
"In post","2021","Female","Animal and Plant Health Agency","30-39","330","310","29190","27960"
"In post","2021","Female","Animal and Plant Health Agency","40-49","430","390","32090","29180"
"In post","2021","Female","Animal and Plant Health Agency","50-59","390","360","31000","26520"
"In post","2021","Female","Animal and Plant Health Agency","60-64","120","100","28450","25320"
"In post","2021","Female","Animal and Plant Health Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","20-29","1930","1920","33620","29250"
"In post","2021","Female","Cabinet Office (excl. agencies)","30-39","1240","1200","48150","52630"
"In post","2021","Female","Cabinet Office (excl. agencies)","40-49","970","930","55610","54700"
"In post","2021","Female","Cabinet Office (excl. agencies)","50-59","750","730","51760","49700"
"In post","2021","Female","Cabinet Office (excl. agencies)","60-64","120","90","42120","33630"
"In post","2021","Female","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","20-29","40","40","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","30-39","80","80","30540","29270"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","40-49","90","80","33630","30440"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","50-59","50","50","35580","30410"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","20-29","30","30","[c]","[c]"
"In post","2021","Female","Charity Commission","30-39","50","50","34590","29160"
"In post","2021","Female","Charity Commission","40-49","80","70","36560","30320"
"In post","2021","Female","Charity Commission","50-59","70","70","34850","29690"
"In post","2021","Female","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","20-29","60","60","25800","24500"
"In post","2021","Female","Companies House","30-39","120","110","29200","25100"
"In post","2021","Female","Companies House","40-49","130","110","31800","27460"
"In post","2021","Female","Companies House","50-59","200","170","30110","22490"
"In post","2021","Female","Companies House","60-64","70","50","26080","22490"
"In post","2021","Female","Companies House","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","20-29","80","80","39840","34570"
"In post","2021","Female","Competition and Markets Authority","30-39","160","160","56750","56090"
"In post","2021","Female","Competition and Markets Authority","40-49","120","110","71050","72430"
"In post","2021","Female","Competition and Markets Authority","50-59","70","60","64580","59940"
"In post","2021","Female","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","30-39","40","40","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","40-49","50","40","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","50-59","50","40","[c]","[c]"
