"Status","Year","Organisation","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","80","70","30250","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Male","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Female","510","460","30270","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Male","350","330","31590","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Female","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Female","1520","1410","29570","25670"
"In post","2021","Animal and Plant Health Agency","No function","Male","1030","990","32220","29150"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Female","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Female","670","650","66570","62250"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Male","750","750","74230","65440"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Female","200","200","46520","42550"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Male","140","140","47870","40600"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Female","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Male","50","50","[c]","[c]"
