"Status","Year","Parent_department","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Heterosexual / straight","90","90","42390","38120"
"In post","2021","Attorney General's Departments","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Unknown","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Heterosexual / straight","340","320","38910","38000"
"In post","2021","Attorney General's Departments","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Unknown","130","120","41500","38760"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Heterosexual / straight","70","70","44500","40000"
"In post","2021","Attorney General's Departments","Brighton and Hove","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Heterosexual / straight","100","90","39580","33310"
"In post","2021","Attorney General's Departments","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Unknown","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Heterosexual / straight","160","150","41350","40420"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
