"Status","Year","Organisation","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","White","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","White","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","White","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","White","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Unknown","150","150","24530","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","White","170","160","25270","24330"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","White","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Unknown","120","110","34280","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","White","410","370","36100","34500"
"In post","2021","Animal and Plant Health Agency","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Undeclared","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Unknown","80","70","22220","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","White","650","610","21800","21050"
"In post","2021","Animal and Plant Health Agency","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Undeclared","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Unknown","70","60","26040","25390"
"In post","2021","Animal and Plant Health Agency","EO","White","620","580","26500","25670"
"In post","2021","Animal and Plant Health Agency","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","White","170","160","54940","54290"
"In post","2021","Animal and Plant Health Agency","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Undeclared","60","60","36230","36350"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Unknown","80","70","35960","36590"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","White","710","680","36150","35900"
"In post","2021","Attorney General's Office","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Chinese","[c]","[c]","[c]","[c]"
