"Status","Year","Sex","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Finance","60","60","42120","37640"
"In post","2021","Female","Bedfordshire and Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Legal","70","60","51120","50520"
"In post","2021","Female","Bedfordshire and Hertfordshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Operational Delivery","1130","1040","28350","26190"
"In post","2021","Female","Bedfordshire and Hertfordshire","Other","110","100","26360","25390"
"In post","2021","Female","Bedfordshire and Hertfordshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Project Delivery","80","80","40000","37640"
"In post","2021","Female","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Science and Engineering","110","110","47930","44230"
"In post","2021","Female","Bedfordshire and Hertfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Unknown","790","700","29050","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Commercial","100","90","37970","35850"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Communications","40","30","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","80","70","39860","35300"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Finance","170","160","36590","33000"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","100","100","37120","31690"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","60","50","34180","31980"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Legal","130","110","46200","45660"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Medicine","100","90","46940","37890"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","1750","1600","28240","25840"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Other","510","490","25730","21870"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Policy","40","40","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","210","200","37490","34790"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Property","110","100","33200","32140"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Psychology","80","80","36120","31180"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","140","130","42910","39700"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Security","120","120","31670","26670"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Tax","90","80","36970","35000"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Unknown","890","790","28830","27920"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Digital, Data and Technology","60","50","40530","36740"
"In post","2021","Female","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Cheshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Operational Delivery","1290","1220","30340","29400"
"In post","2021","Female","Cheshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Unknown","630","550","25610","27570"
"In post","2021","Female","Cheshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Operational Delivery","140","120","25280","22260"
"In post","2021","Female","Cornwall and Isles of Scilly","Other","70","70","22150","21130"
"In post","2021","Female","Cornwall and Isles of Scilly","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Unknown","580","500","25380","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Operational Delivery","840","720","24760","21050"
"In post","2021","Female","Cumbria","Other","30","30","[c]","[c]"
"In post","2021","Female","Cumbria","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Project Delivery","40","30","[c]","[c]"
"In post","2021","Female","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Unknown","210","170","27230","27570"
"In post","2021","Female","Cumbria","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Communications","60","50","37320","36780"
"In post","2021","Female","Derbyshire and Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Digital, Data and Technology","60","60","41390","39060"
"In post","2021","Female","Derbyshire and Nottinghamshire","Finance","90","90","35230","32230"
"In post","2021","Female","Derbyshire and Nottinghamshire","Human Resources","230","210","39080","33840"
"In post","2021","Female","Derbyshire and Nottinghamshire","Inspector of Education and Training","50","50","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Legal","180","160","41440","38630"
"In post","2021","Female","Derbyshire and Nottinghamshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Operational Delivery","3090","2790","27120","25040"
"In post","2021","Female","Derbyshire and Nottinghamshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Other","100","100","26900","21580"
"In post","2021","Female","Derbyshire and Nottinghamshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Policy","160","150","40060","36780"
"In post","2021","Female","Derbyshire and Nottinghamshire","Project Delivery","100","100","42120","38630"
"In post","2021","Female","Derbyshire and Nottinghamshire","Property","150","130","36450","33630"
"In post","2021","Female","Derbyshire and Nottinghamshire","Psychology","90","80","35160","30450"
"In post","2021","Female","Derbyshire and Nottinghamshire","Science and Engineering","130","120","39450","37890"
"In post","2021","Female","Derbyshire and Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Tax","570","530","32700","31810"
"In post","2021","Female","Derbyshire and Nottinghamshire","Unknown","1710","1470","26600","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Commercial","120","110","40890","38370"
"In post","2021","Female","Devon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Digital, Data and Technology","270","240","36290","35030"
"In post","2021","Female","Devon","Finance","50","40","[c]","[c]"
"In post","2021","Female","Devon","Human Resources","80","70","36150","32810"
"In post","2021","Female","Devon","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Legal","50","50","47770","49050"
"In post","2021","Female","Devon","Medicine","90","80","34450","23770"
"In post","2021","Female","Devon","Operational Delivery","1420","1260","26750","23840"
"In post","2021","Female","Devon","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Other","170","160","24210","21440"
"In post","2021","Female","Devon","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Project Delivery","180","170","38120","38550"
"In post","2021","Female","Devon","Property","90","80","32580","32100"
"In post","2021","Female","Devon","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Science and Engineering","270","240","36830","38300"
"In post","2021","Female","Devon","Security","50","50","25680","20920"
"In post","2021","Female","Devon","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Unknown","1410","1140","25320","27570"
"In post","2021","Female","Devon","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Digital, Data and Technology","50","50","35110","33290"
"In post","2021","Female","Dorset and Somerset","Finance","30","30","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Medicine","40","30","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Operational Delivery","1080","960","27260","26520"
"In post","2021","Female","Dorset and Somerset","Other","240","220","24140","21130"
"In post","2021","Female","Dorset and Somerset","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Project Delivery","70","70","33560","32680"
"In post","2021","Female","Dorset and Somerset","Property","30","30","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Science and Engineering","70","60","33780","29270"
"In post","2021","Female","Dorset and Somerset","Security","30","30","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Unknown","660","550","26700","27570"
"In post","2021","Female","Dorset and Somerset","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Commercial","120","120","36340","34850"
"In post","2021","Female","East Anglia","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Corporate Finance","[c]","[c]","[c]","[c]"
