"Status","Year","Disability","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Heterosexual / straight","11180","9820","21950","21010"
"In post","2021","Declared disabled","AA/AO","LGBO","1070","1020","22380","21010"
"In post","2021","Declared disabled","AA/AO","Undeclared","1780","1520","21880","21010"
"In post","2021","Declared disabled","AA/AO","Unknown","1510","1260","22030","21010"
"In post","2021","Declared disabled","EO","Heterosexual / straight","11520","10460","27730","27570"
"In post","2021","Declared disabled","EO","LGBO","1180","1120","27630","27570"
"In post","2021","Declared disabled","EO","Undeclared","1660","1480","27870","27570"
"In post","2021","Declared disabled","EO","Unknown","1330","1170","28500","27570"
"In post","2021","Declared disabled","G6/G7","Heterosexual / straight","3410","3270","58240","56350"
"In post","2021","Declared disabled","G6/G7","LGBO","470","460","58370","56300"
"In post","2021","Declared disabled","G6/G7","Undeclared","460","450","59190","57460"
"In post","2021","Declared disabled","G6/G7","Unknown","280","270","58310","57720"
"In post","2021","Declared disabled","SCS","Heterosexual / straight","330","320","89780","82150"
"In post","2021","Declared disabled","SCS","LGBO","50","50","[c]","[c]"
"In post","2021","Declared disabled","SCS","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Heterosexual / straight","8860","8430","36660","35630"
"In post","2021","Declared disabled","SEO/HEO","LGBO","1060","1030","35550","34490"
"In post","2021","Declared disabled","SEO/HEO","Undeclared","1160","1100","37050","36150"
"In post","2021","Declared disabled","SEO/HEO","Unknown","730","680","36640","35900"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","2020","1880","31220","30210"
"In post","2021","Declared disabled","Unknown","LGBO","190","180","29460","28200"
"In post","2021","Declared disabled","Unknown","Undeclared","230","220","33810","33360"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Heterosexual / straight","66230","60130","22450","21130"
"In post","2021","Declared non-disabled","AA/AO","LGBO","3260","3120","22810","21130"
"In post","2021","Declared non-disabled","AA/AO","Undeclared","6660","5810","22180","21050"
"In post","2021","Declared non-disabled","AA/AO","Unknown","12390","10330","22220","21010"
"In post","2021","Declared non-disabled","EO","Heterosexual / straight","65780","61190","27540","27570"
"In post","2021","Declared non-disabled","EO","LGBO","3240","3140","27510","27570"
"In post","2021","Declared non-disabled","EO","Undeclared","6630","6010","27790","27570"
"In post","2021","Declared non-disabled","EO","Unknown","11790","10350","27990","27570"
"In post","2021","Declared non-disabled","G6/G7","Heterosexual / straight","34560","33330","58880","57340"
"In post","2021","Declared non-disabled","G6/G7","LGBO","2010","1980","58740","57210"
"In post","2021","Declared non-disabled","G6/G7","Undeclared","2850","2750","59880","57740"
"In post","2021","Declared non-disabled","G6/G7","Unknown","3780","3560","58430","56800"
"In post","2021","Declared non-disabled","SCS","Heterosexual / straight","4170","4030","89960","82280"
"In post","2021","Declared non-disabled","SCS","LGBO","260","250","87190","80020"
"In post","2021","Declared non-disabled","SCS","Undeclared","280","260","90070","82200"
"In post","2021","Declared non-disabled","SCS","Unknown","330","320","92950","85190"
"In post","2021","Declared non-disabled","SEO/HEO","Heterosexual / straight","68940","66200","36830","36030"
"In post","2021","Declared non-disabled","SEO/HEO","LGBO","3460","3400","36360","35370"
"In post","2021","Declared non-disabled","SEO/HEO","Undeclared","6160","5870","37530","36650"
"In post","2021","Declared non-disabled","SEO/HEO","Unknown","7640","7210","37140","36230"
"In post","2021","Declared non-disabled","Unknown","Heterosexual / straight","9060","8480","31820","30210"
"In post","2021","Declared non-disabled","Unknown","LGBO","410","400","29630","27540"
"In post","2021","Declared non-disabled","Unknown","Undeclared","650","600","34560","34100"
"In post","2021","Declared non-disabled","Unknown","Unknown","390","350","33630","34340"
"In post","2021","Undeclared","AA/AO","Heterosexual / straight","4180","3770","23640","21440"
"In post","2021","Undeclared","AA/AO","LGBO","300","280","23430","21010"
"In post","2021","Undeclared","AA/AO","Undeclared","2830","2580","23470","21440"
