"Status","Year","Region_ITL3","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Legal","50","40","21540","22820"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","No function","200","190","22820","21590"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Property","50","50","26060","26530"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Security","80","80","39720","44070"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Unknown","140","130","21720","21010"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","No function","180","170","30580","33590"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Unknown","360","330","27950","27570"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","No function","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
