"Status","Year","Organisation","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Female","50","40","32060","29190"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Male","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Female","380","340","33780","31240"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Male","250","240","36290","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Female","70","60","32710","33070"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Male","60","60","38220","38590"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Female","150","140","27980","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Male","100","100","29210","24250"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Female","1170","1090","29310","25520"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Male","710","690","32350","29180"
"In post","2021","Animal and Plant Health Agency","LGBO","Female","70","70","26970","24920"
"In post","2021","Animal and Plant Health Agency","LGBO","Male","70","60","28140","25190"
"In post","2021","Animal and Plant Health Agency","Undeclared","Female","180","170","31850","29180"
"In post","2021","Animal and Plant Health Agency","Undeclared","Male","160","150","34840","31730"
"In post","2021","Animal and Plant Health Agency","Unknown","Female","180","170","29860","25750"
"In post","2021","Animal and Plant Health Agency","Unknown","Male","150","130","31100","26520"
"In post","2021","Attorney General's Office","Heterosexual / straight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Female","2470","2370","45960","40580"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Male","1940","1920","50540","49700"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Female","170","160","41470","34640"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Male","270","270","46990","43890"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Female","230","220","45300","40580"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Male","280","270","49780","47050"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Female","2170","2130","42670","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Male","1930","1920","48310","34640"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Female","110","100","32680","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Male","110","110","34940","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Female","[c]","[c]","[c]","[c]"
