"Status","Year","Ethnicity","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Declared disabled","200","180","26320","24000"
"In post","2021","Asian","East Midlands (England)","Declared non-disabled","1310","1190","27010","25560"
"In post","2021","Asian","East Midlands (England)","Undeclared","70","60","25970","25400"
"In post","2021","Asian","East Midlands (England)","Unknown","110","100","29100","25000"
"In post","2021","Asian","East of England","Declared disabled","130","110","29430","27570"
"In post","2021","Asian","East of England","Declared non-disabled","890","800","29530","27570"
"In post","2021","Asian","East of England","Undeclared","40","30","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","70","70","42870","34000"
"In post","2021","Asian","London","Declared disabled","1280","1180","35810","31520"
"In post","2021","Asian","London","Declared non-disabled","10670","10080","36860","31800"
"In post","2021","Asian","London","Undeclared","560","530","36900","31180"
"In post","2021","Asian","London","Unknown","1050","1010","40390","35300"
"In post","2021","Asian","North East (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Asian","North East (England)","Declared non-disabled","320","290","27380","23140"
"In post","2021","Asian","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","North West (England)","Declared disabled","250","230","27140","25410"
"In post","2021","Asian","North West (England)","Declared non-disabled","2020","1860","27410","25560"
"In post","2021","Asian","North West (England)","Undeclared","130","120","27870","27570"
"In post","2021","Asian","North West (England)","Unknown","170","160","31540","27570"
"In post","2021","Asian","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Declared non-disabled","130","130","45880","39980"
"In post","2021","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Declared disabled","40","40","[c]","[c]"
"In post","2021","Asian","Scotland","Declared non-disabled","380","350","31870","27260"
"In post","2021","Asian","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","70","70","33660","31230"
"In post","2021","Asian","South East (England)","Declared disabled","110","100","30130","27980"
"In post","2021","Asian","South East (England)","Declared non-disabled","1080","1000","30270","27850"
"In post","2021","Asian","South East (England)","Undeclared","70","60","29780","29290"
"In post","2021","Asian","South East (England)","Unknown","120","110","30160","27570"
"In post","2021","Asian","South West (England)","Declared disabled","70","60","31300","27570"
"In post","2021","Asian","South West (England)","Declared non-disabled","620","590","34400","31600"
"In post","2021","Asian","South West (England)","Undeclared","40","30","[c]","[c]"
"In post","2021","Asian","South West (England)","Unknown","60","50","36350","32680"
"In post","2021","Asian","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Declared non-disabled","130","120","28880","27570"
"In post","2021","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Declared non-disabled","350","330","30160","25560"
"In post","2021","Asian","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Declared disabled","400","370","27150","27570"
"In post","2021","Asian","West Midlands (England)","Declared non-disabled","3240","3010","27540","25790"
"In post","2021","Asian","West Midlands (England)","Undeclared","180","160","26670","25860"
"In post","2021","Asian","West Midlands (England)","Unknown","250","240","33310","28840"
"In post","2021","Asian","Yorkshire and The Humber","Declared disabled","190","170","27640","27570"
"In post","2021","Asian","Yorkshire and The Humber","Declared non-disabled","1870","1720","27850","25560"
"In post","2021","Asian","Yorkshire and The Humber","Undeclared","100","90","28710","27570"
"In post","2021","Asian","Yorkshire and The Humber","Unknown","160","140","30550","25560"
"In post","2021","Black","East Midlands (England)","Declared disabled","60","60","25950","26520"
"In post","2021","Black","East Midlands (England)","Declared non-disabled","390","360","27080","26090"
"In post","2021","Black","East Midlands (England)","Undeclared","40","30","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Declared disabled","70","70","29380","29290"
"In post","2021","Black","East of England","Declared non-disabled","470","450","30370","29290"
"In post","2021","Black","East of England","Undeclared","30","30","[c]","[c]"
"In post","2021","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Declared disabled","1210","1150","33460","31060"
"In post","2021","Black","London","Declared non-disabled","7680","7430","34570","31060"
"In post","2021","Black","London","Undeclared","510","490","33450","31060"
"In post","2021","Black","London","Unknown","570","560","37700","34090"
"In post","2021","Black","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Declared non-disabled","120","110","27290","25560"
"In post","2021","Black","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Declared disabled","60","60","29600","27570"
"In post","2021","Black","North West (England)","Declared non-disabled","580","550","28110","26550"
"In post","2021","Black","North West (England)","Undeclared","30","30","[c]","[c]"
"In post","2021","Black","North West (England)","Unknown","50","50","33980","29360"
