"Status","Year","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Female","620","560","42160","41490"
"In post","2021","Asian","Attorney General's Departments","Male","280","270","43160","40000"
"In post","2021","Asian","Cabinet Office","Female","280","270","44200","38560"
"In post","2021","Asian","Cabinet Office","Male","190","190","48330","42040"
"In post","2021","Asian","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Female","60","60","42590","35270"
"In post","2021","Asian","Competition and Markets Authority","Male","50","50","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Female","410","390","39490","35300"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Male","310","300","39140","35150"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","70","70","46090","50860"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","60","60","47270","42020"
"In post","2021","Asian","Department for Education","Female","410","390","39370","36570"
"In post","2021","Asian","Department for Education","Male","300","300","40130","36780"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Female","200","190","35160","32560"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Male","150","150","37270","33510"
"In post","2021","Asian","Department for International Trade","Female","100","100","41680","38160"
"In post","2021","Asian","Department for International Trade","Male","110","110","43610","38540"
"In post","2021","Asian","Department for Transport","Female","220","210","38720","35060"
"In post","2021","Asian","Department for Transport","Male","300","300","41130","35060"
"In post","2021","Asian","Department for Work and Pensions","Female","4420","3780","27730","27570"
"In post","2021","Asian","Department for Work and Pensions","Male","2980","2890","28180","27570"
"In post","2021","Asian","Department of Health and Social Care","Female","770","710","41160","32980"
"In post","2021","Asian","Department of Health and Social Care","Male","390","380","44280","38930"
"In post","2021","Asian","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Female","260","250","40810","36360"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Male","210","210","45050","38680"
"In post","2021","Asian","HM Land Registry","Female","110","100","30340","27130"
"In post","2021","Asian","HM Land Registry","Male","90","90","31440","27130"
"In post","2021","Asian","HM Revenue and Customs","Female","2080","1870","30580","28130"
"In post","2021","Asian","HM Revenue and Customs","Male","2310","2230","31270","29570"
"In post","2021","Asian","HM Treasury","Female","150","150","44290","40680"
"In post","2021","Asian","HM Treasury","Male","130","130","45690","39410"
"In post","2021","Asian","Home Office","Female","2600","2340","31130","28850"
"In post","2021","Asian","Home Office","Male","1890","1820","31490","28810"
"In post","2021","Asian","Ministry of Defence","Female","560","530","33590","30420"
"In post","2021","Asian","Ministry of Defence","Male","780","770","34870","33020"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Female","130","130","40730","36340"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Male","90","90","41450","36340"
"In post","2021","Asian","Ministry of Justice","Female","2250","2030","27810","23500"
"In post","2021","Asian","Ministry of Justice","Male","1700","1630","29530","26410"
"In post","2021","Asian","National Crime Agency","Female","140","140","35210","33910"
"In post","2021","Asian","National Crime Agency","Male","100","100","37740","36740"
"In post","2021","Asian","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Female","70","60","39700","39660"
"In post","2021","Asian","Office for Standards in Education","Male","30","30","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Female","60","50","42830","38750"
"In post","2021","Asian","Office of Gas and Electricity Markets","Male","50","50","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","Female","90","90","35560","32140"
"In post","2021","Asian","Scottish Government","Male","90","80","37230","33620"
"In post","2021","Asian","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","Male","40","40","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
