"Status","Year","Sexual_orientation","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","Analysis","360","350","42360","38630"
"In post","2021","Heterosexual / straight","Asian","Commercial","240","230","41840","36780"
"In post","2021","Heterosexual / straight","Asian","Communications","420","410","32730","30720"
"In post","2021","Heterosexual / straight","Asian","Counter Fraud","460","440","32850","31810"
"In post","2021","Heterosexual / straight","Asian","Debt","210","190","23030","21020"
"In post","2021","Heterosexual / straight","Asian","Digital, Data & Technology","640","630","41290","36760"
"In post","2021","Heterosexual / straight","Asian","Finance","620","610","38850","35850"
"In post","2021","Heterosexual / straight","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Human Resources","420","400","36950","33290"
"In post","2021","Heterosexual / straight","Asian","Internal Audit","70","70","46560","44020"
"In post","2021","Heterosexual / straight","Asian","Legal","930","870","42260","40800"
"In post","2021","Heterosexual / straight","Asian","No function","7680","7230","32530","28880"
"In post","2021","Heterosexual / straight","Asian","Project Delivery","980","960","41250","38080"
"In post","2021","Heterosexual / straight","Asian","Property","240","230","35400","31030"
"In post","2021","Heterosexual / straight","Asian","Security","190","190","32040","30500"
"In post","2021","Heterosexual / straight","Asian","Unknown","10240","9490","30030","27570"
"In post","2021","Heterosexual / straight","Black","Analysis","140","140","39160","36160"
"In post","2021","Heterosexual / straight","Black","Commercial","150","150","41030","37260"
"In post","2021","Heterosexual / straight","Black","Communications","170","160","33180","29720"
"In post","2021","Heterosexual / straight","Black","Counter Fraud","200","190","31470","29570"
"In post","2021","Heterosexual / straight","Black","Debt","100","90","24990","24120"
"In post","2021","Heterosexual / straight","Black","Digital, Data & Technology","320","310","38940","35960"
"In post","2021","Heterosexual / straight","Black","Finance","310","310","39940","36820"
"In post","2021","Heterosexual / straight","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Human Resources","280","270","37810","34370"
"In post","2021","Heterosexual / straight","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Legal","510","500","40320","33930"
"In post","2021","Heterosexual / straight","Black","No function","4880","4720","32080","29750"
"In post","2021","Heterosexual / straight","Black","Project Delivery","600","590","38890","36440"
"In post","2021","Heterosexual / straight","Black","Property","120","110","36450","33740"
"In post","2021","Heterosexual / straight","Black","Security","100","100","30760","27630"
"In post","2021","Heterosexual / straight","Black","Unknown","5040","4810","30650","29290"
"In post","2021","Heterosexual / straight","Chinese","Analysis","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Legal","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","No function","330","320","36170","32030"
"In post","2021","Heterosexual / straight","Chinese","Project Delivery","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Unknown","290","270","31850","28670"
"In post","2021","Heterosexual / straight","Mixed","Analysis","150","150","43160","38510"
"In post","2021","Heterosexual / straight","Mixed","Commercial","80","70","41050","36260"
"In post","2021","Heterosexual / straight","Mixed","Communications","130","120","36790","32900"
"In post","2021","Heterosexual / straight","Mixed","Counter Fraud","90","90","34600","31000"
"In post","2021","Heterosexual / straight","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Digital, Data & Technology","160","160","43180","40490"
"In post","2021","Heterosexual / straight","Mixed","Finance","130","120","41840","38000"
"In post","2021","Heterosexual / straight","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Human Resources","140","130","40570","35060"
"In post","2021","Heterosexual / straight","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Legal","260","250","46700","50520"
"In post","2021","Heterosexual / straight","Mixed","No function","2540","2440","34730","31650"
"In post","2021","Heterosexual / straight","Mixed","Project Delivery","360","350","41910","38600"
"In post","2021","Heterosexual / straight","Mixed","Property","80","80","33680","32780"
"In post","2021","Heterosexual / straight","Mixed","Security","80","70","36080","33200"
"In post","2021","Heterosexual / straight","Mixed","Unknown","2160","2030","31260","27570"
"In post","2021","Heterosexual / straight","Other ethnicity","Analysis","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Digital, Data & Technology","60","60","45080","40040"
"In post","2021","Heterosexual / straight","Other ethnicity","Finance","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Human Resources","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Legal","90","80","49370","51160"
"In post","2021","Heterosexual / straight","Other ethnicity","No function","720","680","36310","32770"
"In post","2021","Heterosexual / straight","Other ethnicity","Project Delivery","110","110","43180","39800"
"In post","2021","Heterosexual / straight","Other ethnicity","Property","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Unknown","590","550","31560","28670"
"In post","2021","Heterosexual / straight","Undeclared","Analysis","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Commercial","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Digital, Data & Technology","70","70","42100","38630"
"In post","2021","Heterosexual / straight","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Human Resources","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Legal","80","70","44100","38640"
"In post","2021","Heterosexual / straight","Undeclared","No function","1200","1140","32360","29000"
"In post","2021","Heterosexual / straight","Undeclared","Project Delivery","100","100","41260","40100"
"In post","2021","Heterosexual / straight","Undeclared","Property","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","1100","1010","30250","27570"
"In post","2021","Heterosexual / straight","Unknown","Analysis","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Commercial","50","50","41410","38820"
"In post","2021","Heterosexual / straight","Unknown","Communications","50","50","35750","31960"
"In post","2021","Heterosexual / straight","Unknown","Counter Fraud","130","120","36860","32690"
"In post","2021","Heterosexual / straight","Unknown","Debt","50","40","25070","25560"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","110","100","41570","38630"
"In post","2021","Heterosexual / straight","Unknown","Finance","70","60","34520","31810"
"In post","2021","Heterosexual / straight","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","60","60","38830","35470"
"In post","2021","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Legal","180","170","41970","35980"
"In post","2021","Heterosexual / straight","Unknown","No function","1830","1670","31410","27380"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","140","130","43530","38950"
"In post","2021","Heterosexual / straight","Unknown","Property","70","70","35070","30710"
"In post","2021","Heterosexual / straight","Unknown","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Unknown","450","420","30270","27570"
"In post","2021","Heterosexual / straight","White","Analysis","3850","3690","44330","39570"
"In post","2021","Heterosexual / straight","White","Commercial","3600","3490","42470","37910"
"In post","2021","Heterosexual / straight","White","Communications","3930","3770","35830","31810"
"In post","2021","Heterosexual / straight","White","Counter Fraud","4890","4590","34620","31810"
"In post","2021","Heterosexual / straight","White","Debt","1730","1550","24100","21440"
"In post","2021","Heterosexual / straight","White","Digital, Data & Technology","6530","6320","42250","38630"
"In post","2021","Heterosexual / straight","White","Finance","5180","4890","40430","36460"
"In post","2021","Heterosexual / straight","White","Grants Management","750","670","26790","25190"
"In post","2021","Heterosexual / straight","White","Human Resources","6120","5780","38230","33300"
"In post","2021","Heterosexual / straight","White","Internal Audit","470","450","46390","43810"
"In post","2021","Heterosexual / straight","White","Legal","6750","6260","46270","48080"
"In post","2021","Heterosexual / straight","White","No function","97730","91150","33550","29850"
"In post","2021","Heterosexual / straight","White","Project Delivery","17920","17300","41200","38630"
"In post","2021","Heterosexual / straight","White","Property","5310","5070","35580","33300"
"In post","2021","Heterosexual / straight","White","Security","5540","5410","30920","26670"
"In post","2021","Heterosexual / straight","White","Unknown","94730","87110","30930","27570"
"In post","2021","LGBO","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","No function","230","220","32720","27710"
"In post","2021","LGBO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Unknown","180","160","29020","27570"
"In post","2021","LGBO","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","No function","130","130","32950","28030"
"In post","2021","LGBO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Unknown","120","120","30410","29540"
"In post","2021","LGBO","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","No function","280","270","35240","31800"
"In post","2021","LGBO","Mixed","Project Delivery","40","40","[c]","[c]"
"In post","2021","LGBO","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Unknown","230","220","31770","27570"
"In post","2021","LGBO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","No function","70","70","37770","33210"
"In post","2021","LGBO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Unknown","50","50","32480","30170"
"In post","2021","LGBO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","No function","130","120","30690","28500"
"In post","2021","LGBO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Unknown","90","90","29030","27570"
"In post","2021","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","No function","110","110","34190","30810"
"In post","2021","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","White","Analysis","370","360","40450","36160"
"In post","2021","LGBO","White","Commercial","170","160","38820","34490"
"In post","2021","LGBO","White","Communications","330","320","36090","31810"
"In post","2021","LGBO","White","Counter Fraud","270","260","34010","31810"
"In post","2021","LGBO","White","Debt","120","110","23190","20140"
"In post","2021","LGBO","White","Digital, Data & Technology","440","430","41400","38030"
"In post","2021","LGBO","White","Finance","210","210","40930","36790"
"In post","2021","LGBO","White","Grants Management","50","50","26210","24920"
"In post","2021","LGBO","White","Human Resources","400","390","40130","35990"
"In post","2021","LGBO","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","White","Legal","470","450","46700","48810"
"In post","2021","LGBO","White","No function","6980","6810","34210","30670"
"In post","2021","LGBO","White","Project Delivery","810","800","41070","37000"
"In post","2021","LGBO","White","Property","200","190","34690","32060"
"In post","2021","LGBO","White","Security","240","240","32680","29370"
"In post","2021","LGBO","White","Unknown","5380","5190","30910","27570"
"In post","2021","Undeclared","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Undeclared","Asian","Finance","40","40","[c]","[c]"
"In post","2021","Undeclared","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Legal","40","30","[c]","[c]"
"In post","2021","Undeclared","Asian","No function","500","460","31070","26880"
"In post","2021","Undeclared","Asian","Project Delivery","40","40","[c]","[c]"
"In post","2021","Undeclared","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","Unknown","840","740","28330","27570"
"In post","2021","Undeclared","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","No function","300","280","32260","30220"
"In post","2021","Undeclared","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Unknown","340","320","30060","28850"
"In post","2021","Undeclared","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","No function","40","40","[c]","[c]"
"In post","2021","Undeclared","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Unknown","30","30","[c]","[c]"
"In post","2021","Undeclared","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Human Resources","[c]","[c]","[c]","[c]"
