"Status","Year","Region_ITL3","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Heterosexual / straight","90","80","32860","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Heterosexual / straight","770","720","39560","31720"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","LGBO","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Undeclared","80","80","40740","31060"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Unknown","170","150","34440","31060"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","190","180","34530","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Undeclared","90","70","26320","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","340","320","32230","30650"
"In post","2021","Angus and Dundee City","Declared disabled","Heterosexual / straight","200","180","24650","21150"
"In post","2021","Angus and Dundee City","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Heterosexual / straight","870","800","27260","24430"
"In post","2021","Angus and Dundee City","Declared non-disabled","LGBO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Undeclared","60","50","24160","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","Unknown","200","180","25020","21010"
"In post","2021","Angus and Dundee City","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Heterosexual / straight","90","90","32180","26160"
"In post","2021","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Undeclared","60","50","25430","22820"
"In post","2021","Angus and Dundee City","Unknown","Unknown","230","220","24970","21150"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Heterosexual / straight","110","110","24150","20310"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Heterosexual / straight","130","120","27220","21250"
"In post","2021","Ards and North Down","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Heterosexual / straight","80","70","30460","31060"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Heterosexual / straight","300","280","30520","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Unknown","100","90","30840","31060"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Heterosexual / straight","90","90","35360","31060"
"In post","2021","Barnet","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Heterosexual / straight","890","840","36830","32330"
"In post","2021","Barnet","Declared non-disabled","LGBO","50","50","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Undeclared","80","80","37080","32330"
"In post","2021","Barnet","Declared non-disabled","Unknown","60","50","35100","31060"
"In post","2021","Barnet","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2021","Barnet","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Heterosexual / straight","120","120","45910","41310"
"In post","2021","Barnet","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Unknown","260","240","49320","44950"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Heterosexual / straight","320","280","27130","27470"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Unknown","40","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Heterosexual / straight","1580","1410","27280","27150"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","LGBO","80","80","27910","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Undeclared","140","120","27860","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Unknown","340","280","26120","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Heterosexual / straight","130","120","28900","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Undeclared","70","60","31060","31150"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Unknown","170","170","24190","22890"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Heterosexual / straight","1020","980","36570","33440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","LGBO","90","80","31560","29000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Undeclared","200","190","39100","37440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Heterosexual / straight","8200","7890","37900","34250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","LGBO","290","280","32800","29750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Undeclared","740","700","39850","38410"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Unknown","320","310","34510","32650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Heterosexual / straight","340","320","38700","36980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Undeclared","440","420","40220","39980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Unknown","50","50","35730","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Heterosexual / straight","740","710","38820","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","LGBO","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Undeclared","150","140","43000","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","690","670","35620","31610"
"In post","2021","Bedford","Declared disabled","Heterosexual / straight","80","80","30480","28500"
"In post","2021","Bedford","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Heterosexual / straight","450","430","30650","28340"
"In post","2021","Bedford","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Undeclared","40","40","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Unknown","50","40","31470","28800"
"In post","2021","Bedford","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Unknown","80","80","26190","24330"
"In post","2021","Belfast","Declared disabled","Heterosexual / straight","180","160","28520","26520"
"In post","2021","Belfast","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Heterosexual / straight","1420","1330","29900","25560"
"In post","2021","Belfast","Declared non-disabled","LGBO","60","60","26640","25490"
"In post","2021","Belfast","Declared non-disabled","Undeclared","70","60","29230","25630"
"In post","2021","Belfast","Declared non-disabled","Unknown","100","90","29960","26750"
"In post","2021","Belfast","Undeclared","Heterosexual / straight","80","70","31450","30580"
"In post","2021","Belfast","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","Undeclared","50","50","29700","27370"
"In post","2021","Belfast","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Heterosexual / straight","120","110","33680","31960"
"In post","2021","Belfast","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Unknown","650","610","25620","21440"
"In post","2021","Berkshire","Declared disabled","Heterosexual / straight","240","230","33430","31810"
"In post","2021","Berkshire","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Undeclared","40","40","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","Heterosexual / straight","1470","1410","34570","30200"
