"Status","Year","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Heterosexual / straight","170","160","41960","42000"
"In post","2021","Analysis","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Economics","Heterosexual / straight","850","830","47460","42280"
"In post","2021","Analysis","Economics","LGBO","80","80","43700","35640"
"In post","2021","Analysis","Economics","Undeclared","90","90","48660","50150"
"In post","2021","Analysis","Economics","Unknown","260","260","43290","35840"
"In post","2021","Analysis","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Heterosexual / straight","140","130","49290","51420"
"In post","2021","Analysis","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Unknown","130","130","54140","53360"
"In post","2021","Analysis","Knowledge and Information Management","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Heterosexual / straight","350","330","32070","30130"
"In post","2021","Analysis","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Unknown","180","170","32270","29540"
"In post","2021","Analysis","Operational Research","Heterosexual / straight","460","440","44430","42520"
"In post","2021","Analysis","Operational Research","LGBO","50","40","[c]","[c]"
"In post","2021","Analysis","Operational Research","Undeclared","70","70","46190","42660"
"In post","2021","Analysis","Operational Research","Unknown","90","90","42640","40480"
"In post","2021","Analysis","Other","Heterosexual / straight","160","150","67140","60780"
"In post","2021","Analysis","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Heterosexual / straight","240","220","45960","45250"
"In post","2021","Analysis","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Unknown","60","60","53760","49930"
