"Status","Year","Region_ITL2","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","East of England","170","150","42490","40000"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","East of England","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","East of England","120","120","29890","30350"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","East of England","1170","1070","29550","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","East of England","340","330","44700","41010"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","East of England","60","50","30510","29570"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","East of England","280","250","28740","26520"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","East of England","800","780","35970","33690"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","East of England","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","East of England","1330","1250","28360","27850"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","East of England","120","110","39150","39700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","South East (England)","140","130","43310","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","South East (England)","120","110","35550","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","South East (England)","80","70","40790","39650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","South East (England)","400","380","35760","31640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","South East (England)","120","110","47060","51860"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","South East (England)","90","90","27700","26780"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","South East (England)","1150","1050","28280","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","South East (England)","370","330","44590","40030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","South East (England)","1050","1010","36870","31800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","South East (England)","480","450","31940","29570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Treasury","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Home Office","South East (England)","80","70","28450","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","South East (England)","2790","2720","32730","29150"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","South East (England)","2620","2480","30090","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","South East (England)","110","110","39480","39570"
"In post","2021","Cheshire","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","North West (England)","310","290","36060","31030"
"In post","2021","Cheshire","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Work and Pensions","North West (England)","970","880","26000","27570"
"In post","2021","Cheshire","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Home Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence","North West (England)","70","60","29580","27370"
"In post","2021","Cheshire","Ministry of Housing, Communities and Local Government","North West (England)","60","60","37510","33770"
"In post","2021","Cheshire","Ministry of Justice","North West (England)","1240","1160","28970","26630"
