"Status","Year","Organisation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Scottish Government","120","100","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","60","60","45550","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Department for Business, Energy and Industrial Strategy","850","790","30810","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Department for Business, Energy and Industrial Strategy","80","70","42220","39580"
"In post","2021","Animal and Plant Health Agency","Commercial","Department for Environment, Food and Rural Affairs","50","50","32690","29640"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Department for Environment, Food and Rural Affairs","2540","2410","30640","27680"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Department for Environment, Food and Rural Affairs","70","60","29310","29180"
"In post","2021","Attorney General's Office","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Cabinet Office","1420","1390","70640","64500"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Cabinet Office","340","340","47060","42150"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Cabinet Office","90","90","47100","49700"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Cabinet Office","970","960","51340","54700"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Cabinet Office","90","90","46340","41820"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Cabinet Office","1120","1070","39180","35590"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Cabinet Office","60","50","79760","79760"
"In post","2021","Cabinet Office (excl. agencies)","No function","Cabinet Office","4170","4130","40710","32000"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Cabinet Office","190","190","69400","62550"
"In post","2021","Cabinet Office (excl. agencies)","Property","Cabinet Office","100","100","50780","52720"
"In post","2021","Cabinet Office (excl. agencies)","Security","Cabinet Office","870","840","33080","33300"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Department for Environment, Food and Rural Affairs","480","460","33750","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Department for Environment, Food and Rural Affairs","60","60","33860","29270"
"In post","2021","Charity Commission","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Charity Commission","30","30","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Charity Commission","50","50","[c]","[c]"
"In post","2021","Charity Commission","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Charity Commission","250","230","32470","29160"
"In post","2021","Companies House","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","260","250","38840","38000"
"In post","2021","Companies House","Finance","Department for Business, Energy and Industrial Strategy","60","50","30930","27460"
"In post","2021","Companies House","Human Resources","Department for Business, Energy and Industrial Strategy","90","80","33040","27460"
"In post","2021","Companies House","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","Department for Business, Energy and Industrial Strategy","620","560","25600","22490"
"In post","2021","Companies House","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Competition and Markets Authority","130","130","60200","56360"
"In post","2021","Competition and Markets Authority","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Competition and Markets Authority","40","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Competition and Markets Authority","160","160","69080","72430"
"In post","2021","Competition and Markets Authority","Project Delivery","Competition and Markets Authority","380","360","60880","56360"
"In post","2021","Competition and Markets Authority","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","Ministry of Justice","290","270","25500","22570"
"In post","2021","Crown Commercial Service","Commercial","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Crown Commercial Service","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Other Cabinet Office Agencies","120","110","41230","35760"
"In post","2021","Crown Commercial Service","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","Other Cabinet Office Agencies","180","180","40500","35520"
"In post","2021","Crown Commercial Service","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Scottish Government","50","50","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Scottish Government","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Scottish Government","600","560","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Scottish Government","1310","1210","26860","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Attorney General's Departments","50","50","41310","39750"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Attorney General's Departments","120","110","39410","38180"
"In post","2021","Crown Prosecution Service","Finance","Attorney General's Departments","90","90","32650","30130"
"In post","2021","Crown Prosecution Service","Human Resources","Attorney General's Departments","140","140","40720","35610"
"In post","2021","Crown Prosecution Service","Legal","Attorney General's Departments","6240","5780","41420","38000"
"In post","2021","Crown Prosecution Service","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","HM Treasury","30","30","[c]","[c]"
"In post","2021","Debt Management Office","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Ministry of Defence","360","340","27490","28110"
"In post","2021","Defence Electronics and Components Agency","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Ministry of Defence","280","270","44340","41300"
"In post","2021","Defence Equipment and Support","Communications","Ministry of Defence","290","280","26940","22190"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Ministry of Defence","420","400","37280","31600"
"In post","2021","Defence Equipment and Support","Human Resources","Ministry of Defence","190","180","39310","34370"
"In post","2021","Defence Equipment and Support","Project Delivery","Ministry of Defence","9120","8820","36250","33740"
"In post","2021","Defence Equipment and Support","Property","Ministry of Defence","220","220","39870","37400"
"In post","2021","Defence Equipment and Support","Unknown","Ministry of Defence","130","130","37260","35530"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Ministry of Defence","460","440","40290","37360"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Ministry of Defence","70","60","33600","35470"
"In post","2021","Defence Science and Technology Laboratory","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Ministry of Defence","60","60","40980","38990"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Ministry of Defence","70","70","33540","28650"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Ministry of Defence","2580","2500","40580","37860"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Ministry of Defence","1010","960","40910","37360"
"In post","2021","Defence Science and Technology Laboratory","Property","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Ministry of Defence","60","50","36070","37320"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","Department for Business, Energy and Industrial Strategy","290","290","43370","36630"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Department for Business, Energy and Industrial Strategy","110","110","48940","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","140","140","46550","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Department for Business, Energy and Industrial Strategy","130","130","53060","53860"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Department for Business, Energy and Industrial Strategy","120","110","46810","47520"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","Department for Business, Energy and Industrial Strategy","4390","4290","49220","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Department for Business, Energy and Industrial Strategy","110","110","51390","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Department for Digital, Culture, Media and Sport","70","70","57470","61730"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Department for Digital, Culture, Media and Sport","60","60","49570","38540"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Department for Digital, Culture, Media and Sport","1190","1170","47990","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Department for Digital, Culture, Media and Sport","210","210","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Analysis","Department for Education","410","390","44380","43020"
"In post","2021","Department for Education (excl. agencies)","Commercial","Department for Education","190","180","39780","38000"
"In post","2021","Department for Education (excl. agencies)","Communications","Department for Education","240","230","37820","33510"
"In post","2021","Department for Education (excl. agencies)","Digital, Data & Technology","Department for Education","410","400","39140","36500"
"In post","2021","Department for Education (excl. agencies)","Finance","Department for Education","400","380","42620","40400"
"In post","2021","Department for Education (excl. agencies)","Human Resources","Department for Education","130","130","34720","29730"
"In post","2021","Department for Education (excl. agencies)","Legal","Department for Education","60","60","54720","57570"
"In post","2021","Department for Education (excl. agencies)","No function","Department for Education","2530","2430","43820","40230"
"In post","2021","Department for Education (excl. agencies)","Project Delivery","Department for Education","470","450","49300","50630"
"In post","2021","Department for Education (excl. agencies)","Property","Department for Education","270","260","49590","50630"
"In post","2021","Department for Education (excl. agencies)","Security","Department for Education","30","30","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","Department for Education","570","550","51130","46030"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","Department for Environment, Food and Rural Affairs","70","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Department for Environment, Food and Rural Affairs","140","140","39210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Department for Environment, Food and Rural Affairs","260","250","41570","37790"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","670","650","43890","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Department for Environment, Food and Rural Affairs","400","390","43210","38060"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Department for Environment, Food and Rural Affairs","260","250","42830","38710"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","Department for Environment, Food and Rural Affairs","2970","2870","43120","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Department for Environment, Food and Rural Affairs","230","230","42220","37110"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Department for Environment, Food and Rural Affairs","390","370","36760","32560"
"In post","2021","Department for International Trade","Analysis","Department for International Trade","250","250","43170","38540"
"In post","2021","Department for International Trade","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Department for International Trade","100","100","42660","38540"
"In post","2021","Department for International Trade","Digital, Data & Technology","Department for International Trade","120","120","46700","43500"
"In post","2021","Department for International Trade","Finance","Department for International Trade","90","90","47730","44030"
"In post","2021","Department for International Trade","Human Resources","Department for International Trade","130","130","43250","38540"
"In post","2021","Department for International Trade","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","No function","Department for International Trade","1880","1860","46340","39960"
"In post","2021","Department for International Trade","Project Delivery","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Analysis","Department for Transport","400","390","46700","43360"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Communications","Department for Transport","120","120","47130","43360"
"In post","2021","Department for Transport (excl. agencies)","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data & Technology","Department for Transport","130","120","41280","39040"
"In post","2021","Department for Transport (excl. agencies)","Finance","Department for Transport","150","150","47760","46710"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","Department for Transport","110","110","44410","42470"
"In post","2021","Department for Transport (excl. agencies)","No function","Department for Transport","2130","2070","47280","42890"
"In post","2021","Department for Transport (excl. agencies)","Project Delivery","Department for Transport","450","440","53950","54380"
