"Status","Year","Region_ITL2","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Female","2580","2360","31450","29290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Male","1960","1900","33820","30760"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Female","4780","4420","31530","28550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Male","4810","4710","34270","31810"
"In post","2021","Cheshire","North West (England)","Female","2190","2020","29990","27570"
"In post","2021","Cheshire","North West (England)","Male","1710","1670","32950","31650"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Female","920","800","26230","26590"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Male","730","700","27040","26670"
"In post","2021","Cumbria","North West (England)","Female","1240","1070","26570","24920"
"In post","2021","Cumbria","North West (England)","Male","900","880","29940","26670"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Female","6920","6220","30140","27570"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Male","5370","5170","32040","27570"
"In post","2021","Devon","South West (England)","Female","4350","3800","29310","27130"
"In post","2021","Devon","South West (England)","Male","4670","4490","33130","30810"
"In post","2021","Dorset and Somerset","South West (England)","Female","2500","2220","28350","27380"
"In post","2021","Dorset and Somerset","South West (England)","Male","2710","2620","30840","28220"
"In post","2021","East Anglia","East of England","Female","6370","5720","28940","27140"
"In post","2021","East Anglia","East of England","Male","6090","5880","31370","28430"
"In post","2021","East Wales","Wales","Female","10990","9960","31460","27570"
"In post","2021","East Wales","Wales","Male","9370","9080","33800","28850"
"In post","2021","East Wales","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","Female","2320","2020","26710","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","Male","2380","2280","29010","27130"
"In post","2021","Eastern Scotland","Scotland","Female","10720","9830","33600","28130"
"In post","2021","Eastern Scotland","Scotland","Male","9120","8820","35140","31810"
"In post","2021","Essex","East of England","Female","3220","2880","29620","29290"
"In post","2021","Essex","East of England","Male","2370","2260","32380","29290"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","Female","13650","12540","33970","30680"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","Male","15660","15290","38630","36010"
"In post","2021","Greater Manchester","North West (England)","Female","10750","9810","30180","27570"
"In post","2021","Greater Manchester","North West (England)","Male","8960","8690","31880","27570"
"In post","2021","Hampshire and Isle of Wight","South East (England)","Female","7590","6770","30310","27570"
"In post","2021","Hampshire and Isle of Wight","South East (England)","Male","7760","7390","33880","31070"
"In post","2021","Hampshire and Isle of Wight","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","Female","2150","1940","27170","25370"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","Male","1840","1790","29010","26930"
"In post","2021","Highlands and Islands","Scotland","Female","1010","920","27920","27570"
"In post","2021","Highlands and Islands","Scotland","Male","940","910","29740","27570"
"In post","2021","Inner London - East","London","Female","9640","9020","40260","33930"
"In post","2021","Inner London - East","London","Male","7560","7360","44310","37660"
"In post","2021","Inner London - West","London","Female","32310","30970","45810","40650"
"In post","2021","Inner London - West","London","Male","28810","28490","48390","43170"
"In post","2021","Inner London - West","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Kent","South East (England)","Female","4230","3840","28720","27370"
"In post","2021","Kent","South East (England)","Male","4300","4130","30530","29290"
"In post","2021","Lancashire","North West (England)","Female","8270","7260","27680","27130"
"In post","2021","Lancashire","North West (England)","Male","5840","5560","29060","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","Female","3650","3210","26690","24900"
"In post","2021","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","Male","2600","2510","28430","27130"
"In post","2021","Lincolnshire","East Midlands (England)","Female","1450","1320","26730","25600"
"In post","2021","Lincolnshire","East Midlands (England)","Male","1380","1340","29580","27570"
"In post","2021","Merseyside","North West (England)","Female","11680","10260","27840","25310"
"In post","2021","Merseyside","North West (England)","Male","7800","7500","29930","26300"
"In post","2021","North Eastern Scotland","Scotland","Female","930","840","32400","27570"
"In post","2021","North Eastern Scotland","Scotland","Male","940","910","39900","33650"
"In post","2021","North Yorkshire","Yorkshire and The Humber","Female","2460","2270","33340","28590"
"In post","2021","North Yorkshire","Yorkshire and The Humber","Male","2270","2210","33670","29930"
"In post","2021","Northern Ireland","Northern Ireland","Female","1760","1590","28400","25560"
"In post","2021","Northern Ireland","Northern Ireland","Male","2060","2000","27630","24890"
"In post","2021","Northumberland and Tyne and Wear","North East (England)","Female","12670","10800","27240","25560"
"In post","2021","Northumberland and Tyne and Wear","North East (England)","Male","8700","8320","29850","25860"
"In post","2021","Outer London - East and North East","London","Female","2270","2060","29870","31060"
"In post","2021","Outer London - East and North East","London","Male","1520","1480","31820","31060"
"In post","2021","Outer London - South","London","Female","6090","5620","35960","31060"
"In post","2021","Outer London - South","London","Male","4660","4560","39570","35200"
"In post","2021","Outer London - West and North West","London","Female","4950","4520","32730","31060"
"In post","2021","Outer London - West and North West","London","Male","4110","3890","33920","31060"
"In post","2021","Overseas","Overseas","Female","1500","1490","49160","46620"
"In post","2021","Overseas","Overseas","Male","2260","2250","50540","50430"
"In post","2021","Shropshire and Staffordshire","West Midlands (England)","Female","4540","4090","28900","27130"
"In post","2021","Shropshire and Staffordshire","West Midlands (England)","Male","3770","3640","31030","27570"
"In post","2021","South Yorkshire","Yorkshire and The Humber","Female","5720","5010","30330","27570"
"In post","2021","South Yorkshire","Yorkshire and The Humber","Male","4210","4060","32810","27670"
"In post","2021","Southern Scotland","Scotland","Female","3500","3040","28710","26120"
"In post","2021","Southern Scotland","Scotland","Male","2520","2400","30410","27570"
"In post","2021","Surrey, East and West Sussex","South East (England)","Female","4700","4190","29770","27570"
"In post","2021","Surrey, East and West Sussex","South East (England)","Male","3600","3420","31540","28350"
"In post","2021","Tees Valley and Durham","North East (England)","Female","5370","4710","27150","25310"
"In post","2021","Tees Valley and Durham","North East (England)","Male","3870","3660","28940","27150"
"In post","2021","Unknown","Unknown","Female","1200","1130","33020","29250"
"In post","2021","Unknown","Unknown","Male","2530","2510","36930","32700"
"In post","2021","West Central Scotland","Scotland","Female","9500","8460","29630","26550"
"In post","2021","West Central Scotland","Scotland","Male","8420","8090","31770","27570"
"In post","2021","West Midlands","West Midlands (England)","Female","10820","9650","29870","27570"
"In post","2021","West Midlands","West Midlands (England)","Male","7390","7160","32190","27570"
"In post","2021","West Wales and The Valleys","Wales","Female","9680","8400","27380","23830"
"In post","2021","West Wales and The Valleys","Wales","Male","6030","5800","30720","26780"
"In post","2021","West Yorkshire","Yorkshire and The Humber","Female","9560","8550","30760","27570"
"In post","2021","West Yorkshire","Yorkshire and The Humber","Male","7690","7420","32190","27570"
"In post","2022","Bedfordshire and Hertfordshire","East of England","Female","2700","2480","32800","29290"
"In post","2022","Bedfordshire and Hertfordshire","East of England","Male","2000","1950","34570","30750"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Female","4900","4520","32100","28780"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Male","4640","4520","35110","32120"
"In post","2022","Cheshire","North West (England)","Female","2500","2300","30820","27570"
"In post","2022","Cheshire","North West (England)","Male","1890","1830","33510","31650"
"In post","2022","Cornwall and Isles of Scilly","South West (England)","Female","980","860","27320","27570"
"In post","2022","Cornwall and Isles of Scilly","South West (England)","Male","790","760","28360","26670"
"In post","2022","Cumbria","North West (England)","Female","1340","1170","27370","24920"
"In post","2022","Cumbria","North West (England)","Male","980","950","30720","26890"
"In post","2022","Derbyshire and Nottinghamshire","East Midlands (England)","Female","7780","7030","31230","27570"
"In post","2022","Derbyshire and Nottinghamshire","East Midlands (England)","Male","5930","5730","32890","28550"
"In post","2022","Devon","South West (England)","Female","4520","3960","30210","27570"
"In post","2022","Devon","South West (England)","Male","4790","4600","33810","31110"
"In post","2022","Dorset and Somerset","South West (England)","Female","2650","2370","29320","27570"
"In post","2022","Dorset and Somerset","South West (England)","Male","2820","2720","31620","28700"
"In post","2022","East Anglia","East of England","Female","6630","5970","29250","27130"
"In post","2022","East Anglia","East of England","Male","6290","6060","31890","29200"
"In post","2022","East Wales","Wales","Female","11290","10320","32850","28550"
"In post","2022","East Wales","Wales","Male","9560","9280","35160","30710"
"In post","2022","East Wales","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","Female","2540","2240","27590","27120"
"In post","2022","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","Male","2410","2300","29440","27130"
"In post","2022","Eastern Scotland","Scotland","Female","11410","10530","35070","30040"
"In post","2022","Eastern Scotland","Scotland","Male","9590","9280","36390","32950"
"In post","2022","Essex","East of England","Female","3150","2820","30510","29290"
"In post","2022","Essex","East of England","Male","2170","2070","32350","29290"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","Female","14190","13070","34410","31600"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","Male","15970","15610","38830","36300"
"In post","2022","Greater Manchester","North West (England)","Female","11630","10690","31210","27570"
"In post","2022","Greater Manchester","North West (England)","Male","9970","9690","33330","28920"
