"Status","Year","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","180","170","67420","60780"
"In post","2021","Analysis","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","130","120","60780","56360"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","300","290","43770","37550"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","London","180","170","46760","45540"
"In post","2021","Analysis","Department for Education","North East (England)","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education","North West (England)","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Yorkshire and The Humber","120","120","44050","42420"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East of England","350","330","34300","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","140","130","32750","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","60","50","33760","30220"
"In post","2021","Analysis","Department for International Trade","London","230","230","42740","38540"
"In post","2021","Analysis","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","London","380","370","46920","43360"
"In post","2021","Analysis","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Yorkshire and The Humber","90","80","47560","49530"
"In post","2021","Analysis","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","70","60","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
