"Status","Year","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","180","170","68040","65470"
"In post","2021","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","130","130","60200","56360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","330","320","43760","37820"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","410","390","44360","42920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","590","560","34170","30220"
"In post","2021","Analysis","Department for International Trade","250","250","43170","38540"
"In post","2021","Analysis","Department for Transport","490","470","43730","42470"
"In post","2021","Analysis","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","290","280","52060","53360"
"In post","2021","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","70","70","57670","58370"
"In post","2021","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","690","660","44250","38630"
"In post","2021","Analysis","HM Treasury","160","150","53520","52840"
"In post","2021","Analysis","Ministry of Defence","650","630","40280","37360"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","210","200","46420","43400"
"In post","2021","Analysis","Ministry of Justice","410","400","45180","40480"
"In post","2021","Analysis","Office for Standards in Education","150","150","39800","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","70","70","54970","52390"
"In post","2021","Analysis","Office of Rail and Road","50","50","[c]","[c]"
"In post","2021","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","1700","1630","37100","35390"
"In post","2021","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","40","30","[c]","[c]"
"In post","2021","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","1420","1390","70640","64500"
"In post","2021","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","250","240","43130","41870"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","200","200","40580","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","210","200","37720","36970"
"In post","2021","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","210","190","33760","31300"
"In post","2021","Commercial","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","240","230","47480","40650"
"In post","2021","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","190","180","41740","39630"
"In post","2021","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","140","140","36810","35000"
"In post","2021","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","2080","2010","36730","34490"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","1050","1020","44220","41100"
"In post","2021","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Commercial","Scottish Government","100","100","31960","25870"
"In post","2021","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","190","190","53960","49790"
"In post","2021","Commercial","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","90","90","43010","39750"
"In post","2021","Communications","Cabinet Office","340","340","47060","42150"
"In post","2021","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","30","30","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","40","30","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","230","220","43730","39820"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education","330","320","39370","36780"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","380","350","37820","36560"
"In post","2021","Communications","Department for International Trade","100","100","42660","38540"
"In post","2021","Communications","Department for Transport","300","290","37770","34710"
"In post","2021","Communications","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","310","300","44020","40650"
"In post","2021","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","150","140","47860","44620"
"In post","2021","Communications","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","4180","4020","29300","25560"
"In post","2021","Communications","HM Treasury","50","40","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","870","840","32410","29200"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","110","110","41320","34920"
"In post","2021","Communications","Ministry of Justice","160","150","44100","39870"
"In post","2021","Communications","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","50","50","38750","36780"
"In post","2021","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","90","80","37320","36030"
"In post","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","250","240","45590","40000"
"In post","2021","Counter Fraud","Cabinet Office","90","90","47100","49700"
"In post","2021","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","280","270","39210","39170"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","60","60","30980","26780"
"In post","2021","Counter Fraud","Food Standards Agency","60","60","38850","37630"
"In post","2021","Counter Fraud","HM Revenue and Customs","8830","8300","33150","31810"
"In post","2021","Counter Fraud","HM Treasury","40","30","[c]","[c]"
"In post","2021","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs","4650","4200","23180","20140"
"In post","2021","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","170","170","39850","38180"
"In post","2021","Digital, Data & Technology","Cabinet Office","970","960","51340","54700"
"In post","2021","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Charity Commission","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","1590","1530","41360","39650"
"In post","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Education","650","640","39700","36780"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","710","690","43180","42440"
"In post","2021","Digital, Data & Technology","Department for International Trade","120","120","46700","43500"
"In post","2021","Digital, Data & Technology","Department for Transport","1180","1160","39470","36030"
"In post","2021","Digital, Data & Technology","Department for Work and Pensions","60","60","39240","33460"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care","360","350","44810","40850"
"In post","2021","Digital, Data & Technology","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","370","360","41150","39190"
"In post","2021","Digital, Data & Technology","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs","2700","2590","39310","36160"
"In post","2021","Digital, Data & Technology","HM Treasury","70","60","49620","43150"
"In post","2021","Digital, Data & Technology","Ministry of Defence","990","970","34000","33290"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","150","150","44240","40720"
"In post","2021","Digital, Data & Technology","Ministry of Justice","1070","1050","46390","43960"
"In post","2021","Digital, Data & Technology","National Crime Agency","260","250","41070","37750"
"In post","2021","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education","80","80","45050","39850"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","60","60","51940","50000"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other Cabinet Office Agencies","130","130","43770","40300"
"In post","2021","Digital, Data & Technology","Scottish Government","240","230","39080","35720"
"In post","2021","Digital, Data & Technology","The National Archives","100","100","40120","39390"
"In post","2021","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","600","590","40840","36840"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Attorney General's Departments","150","140","36780","31330"
"In post","2021","Finance","Cabinet Office","90","90","46340","41820"
"In post","2021","Finance","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","320","300","44650","41870"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","70","70","57470","61730"
"In post","2021","Finance","Department for Education","540","520","43250","41150"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","420","400","42710","38060"
"In post","2021","Finance","Department for International Trade","90","90","47730","44030"
"In post","2021","Finance","Department for Transport","420","400","39840","37570"
"In post","2021","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care","610","590","41250","36820"
"In post","2021","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","50","50","41000","37910"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","300","280","42670","38890"
"In post","2021","Finance","HM Land Registry","50","50","48870","46800"
"In post","2021","Finance","HM Revenue and Customs","2480","2220","32910","28130"
"In post","2021","Finance","HM Treasury","120","120","50180","52500"
"In post","2021","Finance","Ministry of Defence","2150","2070","38260","33300"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","140","130","50660","51010"
"In post","2021","Finance","Ministry of Justice","790","760","42270","37910"
