"Status","Year","Disability","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Female","22720","20250","30840","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Male","14610","13930","32880","28550"
"In post","2021","Declared disabled","LGBO","Female","2050","1940","31540","27570"
"In post","2021","Declared disabled","LGBO","Male","1970","1910","33910","29290"
"In post","2021","Declared disabled","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Female","3050","2660","29950","27570"
"In post","2021","Declared disabled","Undeclared","Male","2270","2150","32850","28650"
"In post","2021","Declared disabled","Unknown","Female","2280","1910","29150","27570"
"In post","2021","Declared disabled","Unknown","Male","1620","1500","31110","27570"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Heterosexual / straight","Female","137530","125110","33060","28130"
"In post","2021","Declared non-disabled","Heterosexual / straight","Male","111210","108240","35880","31590"
"In post","2021","Declared non-disabled","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Female","5920","5710","33070","28670"
"In post","2021","Declared non-disabled","LGBO","Male","6710","6570","36670","31650"
"In post","2021","Declared non-disabled","Undeclared","Female","13000","11520","31850","27570"
"In post","2021","Declared non-disabled","Undeclared","Male","10210","9780","35910","31650"
"In post","2021","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Female","21280","17840","29970","27570"
"In post","2021","Declared non-disabled","Unknown","Male","15030","14280","34320","30330"
"In post","2021","Undeclared","Heterosexual / straight","Female","6150","5600","31390","27570"
"In post","2021","Undeclared","Heterosexual / straight","Male","5760","5560","33490","31650"
"In post","2021","Undeclared","LGBO","Female","520","500","31900","29290"
"In post","2021","Undeclared","LGBO","Male","500","490","34430","30760"
"In post","2021","Undeclared","Undeclared","Female","4400","4000","33190","29290"
"In post","2021","Undeclared","Undeclared","Male","6510","6280","36170","32100"
"In post","2021","Undeclared","Unknown","Female","2040","1800","31850","29290"
"In post","2021","Undeclared","Unknown","Male","2860","2660","34350","31650"
"In post","2021","Unknown","Heterosexual / straight","Female","9600","8920","35060","31810"
"In post","2021","Unknown","Heterosexual / straight","Male","9380","9130","37310","33650"
"In post","2021","Unknown","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Female","550","540","33680","30560"
"In post","2021","Unknown","LGBO","Male","610","600","36780","32910"
"In post","2021","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Female","2300","2070","31880","29350"
"In post","2021","Unknown","Undeclared","Male","1920","1850","36180","32960"
"In post","2021","Unknown","Unknown","Female","29290","27210","32430","27570"
"In post","2021","Unknown","Unknown","Male","30990","30260","34150","29570"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Heterosexual / straight","Female","25000","22370","31670","27570"
"In post","2022","Declared disabled","Heterosexual / straight","Male","15660","14940","33590","29290"
"In post","2022","Declared disabled","LGBO","Female","2610","2500","32410","28650"
"In post","2022","Declared disabled","LGBO","Male","2260","2200","34340","30000"
"In post","2022","Declared disabled","Undeclared","Female","3200","2810","30860","27570"
"In post","2022","Declared disabled","Undeclared","Male","2360","2230","33370","29290"
"In post","2022","Declared disabled","Unknown","Female","2060","1740","29580","27570"
"In post","2022","Declared disabled","Unknown","Male","1470","1360","32040","28200"
"In post","2022","Declared non-disabled","Heterosexual / straight","Female","146990","134350","33760","28920"
"In post","2022","Declared non-disabled","Heterosexual / straight","Male","117630","114580","36500","31920"
"In post","2022","Declared non-disabled","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Female","7070","6830","33560","29290"
"In post","2022","Declared non-disabled","LGBO","Male","7470","7340","37190","31990"
"In post","2022","Declared non-disabled","Undeclared","Female","12850","11470","32600","27570"
"In post","2022","Declared non-disabled","Undeclared","Male","10380","9940","36490","31990"
"In post","2022","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Female","18490","15590","30550","27570"
"In post","2022","Declared non-disabled","Unknown","Male","13820","13150","35410","31060"
"In post","2022","Undeclared","Heterosexual / straight","Female","6490","5920","31990","27570"
"In post","2022","Undeclared","Heterosexual / straight","Male","6090","5860","34210","31650"
"In post","2022","Undeclared","LGBO","Female","590","570","32250","28210"
"In post","2022","Undeclared","LGBO","Male","550","530","35020","31550"
"In post","2022","Undeclared","Undeclared","Female","4180","3800","33750","30370"
"In post","2022","Undeclared","Undeclared","Male","6350","6120","36980","33370"
"In post","2022","Undeclared","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Female","1350","1160","29970","27570"
"In post","2022","Undeclared","Unknown","Male","1900","1740","32620","31650"
"In post","2022","Unknown","Heterosexual / straight","Female","11120","10400","36560","32860"
"In post","2022","Unknown","Heterosexual / straight","Male","10270","10000","38260","35000"
"In post","2022","Unknown","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Female","730","720","34980","32120"
"In post","2022","Unknown","LGBO","Male","760","750","37460","33370"
"In post","2022","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Female","2080","1950","40980","36660"
"In post","2022","Unknown","Undeclared","Male","1860","1820","42560","39070"
"In post","2022","Unknown","Unknown","Female","33260","31010","32810","27860"
"In post","2022","Unknown","Unknown","Male","33200","32350","34730","30460"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Heterosexual / straight","Female","910","750","28490","26120"
"Leaver CS","2021","Declared disabled","Heterosexual / straight","Male","750","690","31310","27130"
"Leaver CS","2021","Declared disabled","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","LGBO","Female","100","90","28270","25940"
"Leaver CS","2021","Declared disabled","LGBO","Male","90","90","32710","27570"
"Leaver CS","2021","Declared disabled","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Undeclared","Female","160","130","29850","26500"
"Leaver CS","2021","Declared disabled","Undeclared","Male","130","110","30330","27570"
"Leaver CS","2021","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Female","500","380","27990","26560"
"Leaver CS","2021","Declared disabled","Unknown","Male","330","280","30200","27570"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Heterosexual / straight","Female","4810","4180","31140","26500"
"Leaver CS","2021","Declared non-disabled","Heterosexual / straight","Male","4640","4320","35290","29200"
"Leaver CS","2021","Declared non-disabled","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","LGBO","Female","260","250","31720","25500"
"Leaver CS","2021","Declared non-disabled","LGBO","Male","240","230","34990","27570"
"Leaver CS","2021","Declared non-disabled","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Undeclared","Female","550","460","31160","26670"
"Leaver CS","2021","Declared non-disabled","Undeclared","Male","500","440","37840","31420"
