"Status","Year","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","500","480","39730","37930"
"In post","2021","Declared disabled","Communications","260","250","37360","34250"
"In post","2021","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","70","70","34320","31810"
"In post","2021","Declared disabled","Digital, Data and Technology","1040","1000","39250","36030"
"In post","2021","Declared disabled","Economics","100","100","47130","47660"
"In post","2021","Declared disabled","Finance","770","720","37880","33780"
"In post","2021","Declared disabled","Human Resources","980","930","39950","35560"
"In post","2021","Declared disabled","Inspector of Education and Training","60","60","62000","64500"
"In post","2021","Declared disabled","Intelligence Analysis","310","290","33460","30830"
"In post","2021","Declared disabled","Internal Audit","90","90","43680","39980"
"In post","2021","Declared disabled","International Trade","100","100","46130","40840"
"In post","2021","Declared disabled","Knowledge and Information Management","270","260","34620","33000"
"In post","2021","Declared disabled","Legal","970","890","48520","50520"
"In post","2021","Declared disabled","Medicine","120","110","56050","41640"
"In post","2021","Declared disabled","Operational Delivery","17340","15730","28020","25620"
"In post","2021","Declared disabled","Operational Research","140","130","42190","38630"
"In post","2021","Declared disabled","Other","1900","1790","28430","25560"
"In post","2021","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","2460","2390","44940","40050"
"In post","2021","Declared disabled","Project Delivery","1470","1420","40430","38290"
"In post","2021","Declared disabled","Property","570","540","35270","33300"
"In post","2021","Declared disabled","Psychology","120","110","33040","29930"
"In post","2021","Declared disabled","Science and Engineering","1120","1080","36770","35080"
"In post","2021","Declared disabled","Security","600","580","31900","28750"
"In post","2021","Declared disabled","Social Research","110","100","41770","38900"
"In post","2021","Declared disabled","Statistics","180","170","43030","38750"
"In post","2021","Declared disabled","Tax","1360","1260","35230","31810"
"In post","2021","Declared disabled","Unknown","17490","15530","28590","27570"
"In post","2021","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","3520","3400","40820","37540"
"In post","2021","Declared non-disabled","Communications","2550","2460","41850","38630"
"In post","2021","Declared non-disabled","Corporate Finance","130","130","47170","46080"
"In post","2021","Declared non-disabled","Counter Fraud","610","580","37990","36060"
"In post","2021","Declared non-disabled","Digital, Data and Technology","8380","8150","42480","38750"
"In post","2021","Declared non-disabled","Economics","1400","1370","49030","50430"
"In post","2021","Declared non-disabled","Finance","6460","6150","41170","37320"
"In post","2021","Declared non-disabled","Human Resources","5310","5030","39240","35000"
"In post","2021","Declared non-disabled","Inspector of Education and Training","720","700","67650","74730"
"In post","2021","Declared non-disabled","Intelligence Analysis","2400","2290","33950","30830"
"In post","2021","Declared non-disabled","Internal Audit","580","550","46070","43230"
"In post","2021","Declared non-disabled","International Trade","780","770","47810","44030"
"In post","2021","Declared non-disabled","Knowledge and Information Management","1600","1540","36560","33300"
"In post","2021","Declared non-disabled","Legal","8150","7600","49510","51250"
"In post","2021","Declared non-disabled","Medicine","1560","1400","54190","40850"
"In post","2021","Declared non-disabled","Operational Delivery","113090","104010","29010","26200"
"In post","2021","Declared non-disabled","Operational Research","790","760","44790","45130"
"In post","2021","Declared non-disabled","Other","14080","13500","31520","26670"
"In post","2021","Declared non-disabled","Planning","160","150","47210","41000"
"In post","2021","Declared non-disabled","Planning Inspectors","250","220","58270","58810"
