"Status","Year","Parent_department","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Communications","70","70","43070","39750"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Counter Fraud","160","160","45980","40000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Digital, Data & Technology","140","130","40660","38180"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Finance","130","120","36110","31350"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Human Resources","170","170","40260","33930"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Legal","5910","5520","44500","48080"
"In post","2021","Attorney General's Departments","Heterosexual / straight","No function","60","60","42330","40000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Legal","390","370","45730","50500"
"In post","2021","Attorney General's Departments","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
