"Status","Year","Region_ITL2","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Finance","60","60","42120","37640"
"In post","2021","Bedfordshire and Hertfordshire","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Legal","70","60","51120","50520"
"In post","2021","Bedfordshire and Hertfordshire","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Operational Delivery","1130","1040","28350","26190"
"In post","2021","Bedfordshire and Hertfordshire","Female","Other","110","100","26360","25390"
"In post","2021","Bedfordshire and Hertfordshire","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Project Delivery","80","80","40000","37640"
"In post","2021","Bedfordshire and Hertfordshire","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Science and Engineering","110","110","47930","44230"
"In post","2021","Bedfordshire and Hertfordshire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Unknown","790","700","29050","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Digital, Data and Technology","50","50","36670","37640"
"In post","2021","Bedfordshire and Hertfordshire","Male","Finance","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Legal","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Operational Delivery","930","890","31510","30400"
"In post","2021","Bedfordshire and Hertfordshire","Male","Other","70","60","29840","26670"
"In post","2021","Bedfordshire and Hertfordshire","Male","Policy","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Project Delivery","60","60","44280","40580"
"In post","2021","Bedfordshire and Hertfordshire","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Science and Engineering","110","100","46610","42650"
"In post","2021","Bedfordshire and Hertfordshire","Male","Security","60","60","24950","22650"
"In post","2021","Bedfordshire and Hertfordshire","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Unknown","450","440","30330","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Commercial","100","90","37970","35850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Communications","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Digital, Data and Technology","80","70","39860","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Finance","170","160","36590","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Human Resources","100","100","37120","31690"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Knowledge and Information Management","60","50","34180","31980"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Legal","130","110","46200","45660"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Medicine","100","90","46940","37890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Operational Delivery","1750","1600","28240","25840"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Other","510","490","25730","21870"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Policy","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Project Delivery","210","200","37490","34790"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Property","110","100","33200","32140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Psychology","80","80","36120","31180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Science and Engineering","140","130","42910","39700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Security","120","120","31670","26670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Tax","90","80","36970","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","890","790","28830","27920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Commercial","90","90","40220","40330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Communications","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Digital, Data and Technology","170","170","42240","39790"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Finance","140","130","40730","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","International Trade","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Legal","90","70","48900","51970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Operational Delivery","1670","1630","30770","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Other","410","400","28140","23120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Policy","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Project Delivery","150","150","43670","40580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Property","250","250","34590","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Science and Engineering","190","180","42790","40560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Security","850","840","34690","34770"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Tax","90","80","38160","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","440","430","29430","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Digital, Data and Technology","60","50","40530","36740"
"In post","2021","Cheshire","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Human Resources","40","40","[c]","[c]"
"In post","2021","Cheshire","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Operational Delivery","1290","1220","30340","29400"
"In post","2021","Cheshire","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Unknown","630","550","25610","27570"
"In post","2021","Cheshire","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Digital, Data and Technology","80","80","42960","45480"
"In post","2021","Cheshire","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Operational Delivery","1170","1140","33210","31650"
"In post","2021","Cheshire","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Project Delivery","30","30","[c]","[c]"
"In post","2021","Cheshire","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Unknown","310","300","25610","27570"
"In post","2021","Cheshire","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Operational Delivery","140","120","25280","22260"
"In post","2021","Cornwall and Isles of Scilly","Female","Other","70","70","22150","21130"
"In post","2021","Cornwall and Isles of Scilly","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Unknown","580","500","25380","27570"
"In post","2021","Cornwall and Isles of Scilly","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Operational Delivery","120","110","28640","26750"
"In post","2021","Cornwall and Isles of Scilly","Male","Other","140","130","23920","21130"
"In post","2021","Cornwall and Isles of Scilly","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Property","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Science and Engineering","90","90","24580","22500"
"In post","2021","Cornwall and Isles of Scilly","Male","Security","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Unknown","260","250","25750","27570"
"In post","2021","Cornwall and Isles of Scilly","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Operational Delivery","840","720","24760","21050"
"In post","2021","Cumbria","Female","Other","30","30","[c]","[c]"
"In post","2021","Cumbria","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Project Delivery","40","30","[c]","[c]"
"In post","2021","Cumbria","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Unknown","210","170","27230","27570"
"In post","2021","Cumbria","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Operational Delivery","460","450","26370","22850"
"In post","2021","Cumbria","Male","Other","60","60","22830","21060"
"In post","2021","Cumbria","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","Project Delivery","70","70","42640","40140"
"In post","2021","Cumbria","Male","Property","[c]","[c]","[c]","[c]"
