"Status","Year","Profession_of_post","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","30-39","30","30","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","40-49","50","50","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","50-59","60","60","43110","42000"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","30-39","70","60","40820","39100"
"In post","2021","Commercial","Devon","40-49","70","70","45330","47960"
"In post","2021","Commercial","Devon","50-59","60","60","45290","47960"
"In post","2021","Commercial","Devon","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","50-59","30","30","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","16-19","[c]","[c]","[c]","[c]"
