"Status","Year","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","2760","2530","31580","28700"
"In post","2021","Declared disabled","Black","1820","1710","32040","30330"
"In post","2021","Declared disabled","Chinese","80","70","32070","29630"
"In post","2021","Declared disabled","Mixed","1200","1110","33280","29290"
"In post","2021","Declared disabled","Other ethnicity","350","340","34880","31060"
"In post","2021","Declared disabled","Undeclared","2040","1870","31620","27680"
"In post","2021","Declared disabled","Unknown","1250","1130","31600","28200"
"In post","2021","Declared disabled","White","41060","37480","31440","27570"
"In post","2021","Declared non-disabled","Asian","23010","21460","32440","28990"
"In post","2021","Declared non-disabled","Black","12070","11610","32660","30480"
"In post","2021","Declared non-disabled","Chinese","990","950","36710","32410"
"In post","2021","Declared non-disabled","Mixed","6040","5770","35410","31060"
"In post","2021","Declared non-disabled","Other ethnicity","1830","1730","36170","31060"
"In post","2021","Declared non-disabled","Undeclared","8940","8230","33160","28700"
"In post","2021","Declared non-disabled","Unknown","9600","8790","32490","27570"
"In post","2021","Declared non-disabled","White","258430","240530","34240","29170"
"In post","2021","Undeclared","Asian","1230","1140","32290","29050"
"In post","2021","Undeclared","Black","780","740","32110","31060"
"In post","2021","Undeclared","Chinese","60","60","33460","29880"
"In post","2021","Undeclared","Mixed","410","390","34500","31060"
"In post","2021","Undeclared","Other ethnicity","180","170","40150","34040"
"In post","2021","Undeclared","Undeclared","7380","7000","35900","31950"
"In post","2021","Undeclared","Unknown","2030","1900","35660","31830"
"In post","2021","Undeclared","White","16690","15500","32340","30140"
"In post","2021","Unknown","Asian","2160","2060","36490","32120"
"In post","2021","Unknown","Black","940","910","36080","32260"
"In post","2021","Unknown","Chinese","120","120","42300","38930"
"In post","2021","Unknown","Mixed","620","590","37630","33570"
"In post","2021","Unknown","Other ethnicity","230","220","43260","37340"
"In post","2021","Unknown","Undeclared","2200","2070","38160","33650"
"In post","2021","Unknown","Unknown","54200","51910","32700","28000"
"In post","2021","Unknown","White","24220","22750","36030","32750"
"In post","2022","Declared disabled","Asian","3130","2880","32480","29290"
"In post","2022","Declared disabled","Black","2060","1950","32930","31020"
"In post","2022","Declared disabled","Mixed","1390","1310","33980","30710"
"In post","2022","Declared disabled","Other ethnicity","380","360","35330","31730"
"In post","2022","Declared disabled","Undeclared","2100","1930","32390","28630"
"In post","2022","Declared disabled","Unknown","1290","1170","32940","29260"
"In post","2022","Declared disabled","White","44250","40540","32180","27570"
"In post","2022","Declared non-disabled","Asian","26320","24690","33280","29290"
"In post","2022","Declared non-disabled","Black","13140","12650","33150","31020"
"In post","2022","Declared non-disabled","Mixed","6610","6320","35860","31060"
"In post","2022","Declared non-disabled","Other ethnicity","1900","1800","36410","31530"
"In post","2022","Declared non-disabled","Undeclared","9050","8350","34260","30330"
"In post","2022","Declared non-disabled","Unknown","9170","8460","32660","27570"
"In post","2022","Declared non-disabled","White","268520","250960","34990","30210"
"In post","2022","Undeclared","Asian","1370","1280","33230","29730"
"In post","2022","Undeclared","Black","770","730","33150","31060"
"In post","2022","Undeclared","Mixed","430","420","35130","31220"
"In post","2022","Undeclared","Other ethnicity","130","120","36540","31650"
"In post","2022","Undeclared","Undeclared","7070","6700","36560","33300"
"In post","2022","Undeclared","Unknown","1110","1030","33200","31650"
"In post","2022","Undeclared","White","16610","15430","32870","30450"
"In post","2022","Unknown","Asian","2840","2730","37080","33080"
"In post","2022","Unknown","Black","1120","1080","37060","33080"
"In post","2022","Unknown","Mixed","730","710","38490","34010"
"In post","2022","Unknown","Other ethnicity","240","230","42290","37030"
"In post","2022","Unknown","Undeclared","1980","1870","39170","35000"
"In post","2022","Unknown","Unknown","60930","58340","33680","28650"
"In post","2022","Unknown","White","25440","24040","37230","33370"
"Leaver CS","2021","Declared disabled","Asian","110","90","30470","27570"
"Leaver CS","2021","Declared disabled","Black","70","60","[c]","[c]"
