"Status","Year","Region_ITL2","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","East of England","170","150","42490","40000"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","East of England","60","60","36410","35370"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","East of England","1110","1020","28790","29290"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","East of England","120","120","29890","30350"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","East of England","60","60","43690","45100"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","East of England","320","280","23790","21300"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","East of England","1000","960","29780","29920"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","East of England","60","50","30510","29570"
"In post","2021","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","East of England","280","250","28740","26520"
"In post","2021","Bedfordshire and Hertfordshire","Insolvency Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","East of England","320","310","44060","41010"
"In post","2021","Bedfordshire and Hertfordshire","Met Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","East of England","740","730","35930","33630"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","East of England","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","East of England","120","110","39150","39700"
"In post","2021","Bedfordshire and Hertfordshire","Public Health England","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Animal and Plant Health Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","South East (England)","120","110","35550","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","South East (England)","140","130","43310","40000"
