"Status","Year","Ethnicity","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Angus and Dundee City","30","30","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Barking & Dagenham and Havering","110","100","30560","31060"
"In post","2021","Asian","Heterosexual / straight","Barnet","310","290","36260","31880"
"In post","2021","Asian","Heterosexual / straight","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","320","310","35480","33200"
"In post","2021","Asian","Heterosexual / straight","Bedford","70","60","27640","27570"
"In post","2021","Asian","Heterosexual / straight","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Berkshire","240","220","30510","29290"
"In post","2021","Asian","Heterosexual / straight","Bexley and Greenwich","90","80","30910","31060"
"In post","2021","Asian","Heterosexual / straight","Birmingham","1930","1810","27110","25560"
"In post","2021","Asian","Heterosexual / straight","Blackburn with Darwen","100","90","25950","27570"
"In post","2021","Asian","Heterosexual / straight","Blackpool","70","70","29760","27570"
"In post","2021","Asian","Heterosexual / straight","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Bradford","470","430","25750","25560"
"In post","2021","Asian","Heterosexual / straight","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Brent","100","90","30200","31060"
"In post","2021","Asian","Heterosexual / straight","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Bristol, City of","130","120","33860","29220"
"In post","2021","Asian","Heterosexual / straight","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Buckinghamshire CC","80","70","31250","27570"
"In post","2021","Asian","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Calderdale and Kirklees","120","110","26990","27570"
"In post","2021","Asian","Heterosexual / straight","Cambridgeshire CC","70","70","34030","29000"
"In post","2021","Asian","Heterosexual / straight","Camden and City of London","450","430","32210","29570"
"In post","2021","Asian","Heterosexual / straight","Cardiff and Vale of Glamorgan","210","190","30220","25560"
"In post","2021","Asian","Heterosexual / straight","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Central Hampshire","50","50","32730","29430"
"In post","2021","Asian","Heterosexual / straight","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","City of Edinburgh","110","100","34980","31920"
"In post","2021","Asian","Heterosexual / straight","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Coventry","330","310","33270","29730"
"In post","2021","Asian","Heterosexual / straight","Croydon","1380","1290","34650","29570"
"In post","2021","Asian","Heterosexual / straight","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Derby","80","70","25660","26180"
"In post","2021","Asian","Heterosexual / straight","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Dudley","70","70","24520","21010"
