"Status","Year","Disability","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","110","100","31240","30950"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","350","330","28410","25190"
"In post","2021","Declared disabled","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","710","680","43990","38420"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","70","60","31950","25100"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","100","100","37590","33550"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","720","660","42200","38180"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","1090","1040","35460","33070"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","460","450","37970","37320"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","470","460","46860","40620"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","120","110","47040","39280"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","520","500","41820","37100"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","590","570","40420","36970"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","200","200","45110","39200"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","200","190","45810","43360"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15220","13360","27040","27570"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","140","130","46200","40650"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","30","30","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","660","540","24060","21590"
