"Status","Year","Region_ITL1","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Female","60","60","29660","30950"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Male","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Female","50","50","32490","29180"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Female","300","270","37150","30130"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Male","140","140","40540","45140"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Female","70","70","34100","33070"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Male","150","150","36860","35630"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Female","140","120","40000","36780"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Male","80","80","44820","40700"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Female","2990","2550","25870","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Male","1500","1420","26010","27570"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Female","200","190","33130","31040"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Male","350","330","31630","27680"
