"Status","Year","Age","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","16-19","AA/AO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Wales","60","60","19330","20140"
"In post","2021","16-19","AA/AO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Eastern Scotland","90","90","20890","20850"
"In post","2021","16-19","AA/AO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","16-19","AA/AO","Greater Manchester","30","30","[c]","[c]"
"In post","2021","16-19","AA/AO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Kent","40","40","[c]","[c]"
"In post","2021","16-19","AA/AO","Lancashire","40","40","[c]","[c]"
"In post","2021","16-19","AA/AO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
