"Status","Year","Age","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Unknown","180","170","20860","20850"
"In post","2021","16-19","Operational Delivery","White","210","200","21550","21430"
"In post","2021","16-19","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","60","60","19020","16780"
"In post","2021","16-19","Other","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Undeclared","[c]","[c]","[c]","[c]"
